	Human_R1_zeb2_2	Human_R1_zeb2_3	Human_R1_zeb2_neg	Human_R2_zeb2_2	Human_R2_zeb2_3	Human_R2_zeb2_neg	Human_R3_zeb2_2	Human_R3_zeb2_3	Human_R3_zeb2_neg	Chimp_Judith_Zeb2_2	Chimp_Judith_Zeb2_3	Chimp_Judith_Zeb2_neg	Chimp_Leo_Zeb2_2	Chimp_Leo_Zeb2_3	Chimp_Leo_Zeb2_neg	Chimp_Maryke_Zeb2_2	Chimp_Maryke_Zeb2_3	Chimp_Maryke_Zeb2_neg	Orang_Guchi_Zeb2_2	Orang_Guchi_Zeb2_3	Orang_Guchi_Zeb2_neg	Orang_Jaqo_Zeb2_2	Orang_Jaqo_Zeb2_3	Orang_Jaqo_Zeb2_neg	Orang_JingJing_Zeb2_2	Orang_JingJing_Zeb2_3	Orang_JingJing_Zeb2_neg
ENSG00000227232.5	194	101	159	54	49	88	0	106	46	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000278267.1	5	9	3	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009.6	0	0	0	1	2	2	0	0	0	2	5	1	6	0	3	6	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750.3	1	0	2	0	3	0	0	7	2	4	1	15	71	72	39	1	2	2	0	0	0	0	0	0	0	0	0
ENSG00000268903.1	1	4	0	0	0	3	0	8	0	79	32	124	41	149	31	9	5	4	0	0	0	0	0	0	0	0	0
ENSG00000269981.1	3	1	2	2	0	4	0	9	0	28	17	23	15	31	5	13	4	2	0	0	0	0	0	0	0	0	0
ENSG00000239906.1	1	0	0	0	0	1	0	0	0	0	3	17	15	11	15	7	0	1	0	0	0	0	0	0	0	0	0
ENSG00000241860.7	0	1	0	1	0	1	0	0	1	4	0	1	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279457.4	210	187	147	74	112	111	13	143	51	4	5	8	2	4	3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273874.1	4	5	5	0	4	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463.10	13	12	10	4	2	1	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236679.2	3	3	4	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094.12	15	4	5	0	0	4	0	2	1	71	60	144	89	105	53	91	10	68	0	0	0	0	0	0	0	0	0
ENSG00000250575.1	2	1	2	1	0	5	0	3	2	0	0	7	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230021.10	10	10	8	1	1	0	0	0	2	8	0	2	1	3	2	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972.1	46	54	59	24	28	51	46	74	64	0	0	0	0	0	0	1	0	1	2	2	9	3	4	6	0	6	0
ENSG00000225630.1	6281	5330	7755	2332	3066	4909	1583	4809	5541	1	0	0	0	0	0	0	0	0	18	25	153	4533	4902	5780	24	36	9
ENSG00000237973.1	1295	1716	2093	881	1147	1932	417	2207	1600	70	114	98	57	108	40	104	33	88	100	95	49	30780	26435	35678	85	192	17
ENSG00000229344.1	81	104	180	70	69	141	45	187	103	0	0	0	0	0	0	0	0	0	35	40	61	11633	9454	12250	46	83	6
ENSG00000240409.1	40	32	42	6	33	44	25	83	74	0	0	0	0	0	0	0	0	0	10	6	0	81	55	153	5	10	0
ENSG00000248527.1	10117	9833	12247	3751	5284	6607	2759	8951	10243	0	0	0	0	0	0	0	0	0	27	25	16	9676	8396	10688	33	51	4
ENSG00000198744.5	159	206	250	93	248	331	65	275	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376.3	9	2	5	0	0	0	0	8	0	44	4	24	20	19	15	4	0	2	0	0	0	2	1	5	0	0	0
ENSG00000228327.3	101	45	76	23	24	31	0	109	38	274	175	448	157	165	121	211	241	108	0	0	0	1	0	0	0	0	3
ENSG00000223181.1	0	0	0	0	0	0	0	0	0	25	3	20	18	10	12	17	34	5	0	0	0	0	0	0	0	0	0
ENSG00000237491.10	113	111	139	31	27	32	0	87	71	66	44	89	20	16	29	34	8	8	0	0	0	0	0	0	0	0	0
ENSG00000230092.7	2	2	1	1	1	6	0	0	0	33	27	57	18	21	25	7	4	8	0	0	0	0	0	0	0	0	0
ENSG00000177757.2	11	4	11	0	0	0	0	0	50	81	98	176	41	38	34	31	26	17	0	0	0	0	0	0	0	0	0
ENSG00000228794.10	748	541	656	283	227	402	4	696	494	507	439	643	417	445	306	494	218	214	0	0	0	0	0	0	0	0	0
ENSG00000225880.5	71	42	58	7	12	25	0	45	2	92	98	212	91	93	58	47	13	19	0	0	0	0	0	0	0	0	0
ENSG00000288531.1	8	6	14	0	1	5	0	0	0	60	113	93	46	29	29	20	40	30	0	0	0	0	0	0	0	0	0
ENSG00000230368.2	0	0	2	0	0	0	0	0	0	3	2	4	5	4	3	16	0	3	0	0	0	0	0	0	0	0	0
ENSG00000234711.1	0	0	0	1	0	2	0	0	0	14	39	18	21	15	21	0	20	17	0	0	0	0	0	0	0	0	0
ENSG00000283040.1	0	0	0	0	0	0	0	0	0	7	3	12	2	4	1	3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272438.1	6	6	20	4	0	2	0	0	0	14	1	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
