	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11
CD99	13.5728510291265	13.6969381865616	13.1112318284285	13.6230109300702	11.977260140889	13.4115128039679	13.1252054075169	12.9579972287562	13.2219494434038	13.5937421157638	11.1811182171457
HS3ST1	7.48247910859975	7.52883592072609	8.37283569865587	7.1896805069657	9.11149356556463	8.75013836280616	7.82988717017775	8.4393059560591	8.62860852488333	7.40594595094847	8.96395899048382
POMT2	9.69879701552652	8.85948123271456	9.83573283671331	10.1310650887281	10.4056335716393	9.95208118533064	9.86924636280687	9.73641773077526	10.1283687030676	9.90844629147766	11.7151482208428
SEMA3B	10.1092617850155	10.4328090329523	10.272072721721	11.4409788047485	8.4745567897297	9.50686721179379	8.99109284711652	9.90785896466495	11.1742581015797	11.0949583218918	10.6761135076588
MBTPS2	10.9159622751994	10.5665908427215	10.9046709601067	10.9947436175153	11.1170317491061	10.8873188107422	10.7172432693618	10.8813493346465	10.3886577321626	10.7462525751507	10.5444824260385
AGPAT4	10.3296900194715	10.0768988386357	10.0703365381256	10.1282799623016	10.7964848846171	10.0302462819989	9.94199022458747	10.9691753159854	10.7078352160339	10.1484497286561	11.7845497396981
BCLAF1	13.3982999186731	13.468147994027	13.5880540871046	13.4133604741626	14.2035188074035	13.3722262573045	12.9859236187756	13.445235087019	13.648348694922	13.2006950417003	13.7500253129421
SLC39A9	10.7554976030062	12.8408937715894	12.0931025806756	12.7681720114253	12.7829611450187	12.1596129067814	12.2905984671494	12.0121016408934	12.1568840745318	12.0615913384268	11.7521924259872
PEX3	10.2571369928379	10.3731850502659	10.8035316106006	10.1001289219874	10.8926111281321	10.4792651402313	10.4564910074907	10.7341403900642	9.14473214927649	9.84164292079341	10.2052227736464
TBC1D23	12.3009046433686	11.8220637033601	12.2858200521771	12.4635278982871	12.2424244353911	12.3649932378379	11.2807584687578	12.1787856868608	11.7278856277658	12.1690306060786	11.761784848566
TUBG2	10.3912543485532	9.81535867948226	10.2514624420457	10.4538276741666	10.5304100244632	10.3954152272805	9.99039301928767	10.5496122179759	10.7654067467171	10.4013145022168	11.4889655196473
PQLC2	7.59141348015292	8.2658015148923	8.54530289466063	8.89094203945023	8.4745567897297	7.97962020892892	8.61607527992013	9.12156565813518	9.60514955205934	8.99090845166963	8.99031031743078
AP2S1	10.3375307726887	10.5451377330552	10.5771221830337	10.3572287450354	9.29467466370921	10.2572299542665	11.0164069776343	11.0665146146263	10.4513934875105	10.4197517504735	8.85345944921827
ADAMTS6	8.07684030732316	7.91070655606974	8.44721789497845	8.50088219526	8.78400594533537	8.22435379801978	9.27473587858655	8.94377853891989	9.12287271531275	8.09782365558614	9.24132674733165
SZRD1	11.5699419498501	12.5968813081492	11.5495299561109	11.141461686982	9.27102339564457	11.2783278061222	11.2187729779211	12.5148783862593	12.680972060346	12.8253119714488	11.8435563554506
YBX3	12.867368644411	12.4487826691601	12.6167400777553	12.5203982415862	13.0689796196999	12.4560345739906	11.798847518426	12.211895459956	14.1010264169515	12.7526301449214	12.7284178651011
GUCY1B3	10.4502987028506	11.0504958395387	10.9360067449181	10.6117141164466	10.8129573190315	11.1468485833415	11.2442399309764	10.7065281588563	10.1392982632259	10.6712905174695	9.38728310094763
BTBD1	12.6373964708624	12.8408937715894	12.5001545287203	12.6054692143016	12.4593772339614	12.6437014267677	12.3995121660541	12.681335280417	11.8224650354613	12.4503400703069	11.1167928901948
