Sample	aligned_libsize	Subfamily:Family:Class	copies	fpkm	uniq_counts	tot_counts	tot_reads	score
Orang_Jaqo_Zeb2_neg_R1	9136678	AluSx:Alu:SINE	281507	44081.4126813	112208	114100.14	115120	99.11
Orang_Jaqo_Zeb2_neg_R1	9136678	AluJo:Alu:SINE	121690	17220.699913	41852	42468.33	42801	99.22
Orang_Jaqo_Zeb2_neg_R1	9136678	AluJb:Alu:SINE	111580	16580.8175035	39394	39936.03	40233	99.26
Orang_Jaqo_Zeb2_neg_R1	9136678	MIRb:MIR:SINE	196368	20195.8086259	37247	37682.66	37874	99.49
Orang_Jaqo_Zeb2_neg_R1	9136678	MIR:MIR:SINE	170477	17790.3898106	35361	35710.25	35888	99.50
Orang_Jaqo_Zeb2_neg_R1	9136678	AluY:Alu:SINE	113204	13924.5129557	30866	32007.55	32342	98.97
Orang_Jaqo_Zeb2_neg_R1	9136678	AluSq:Alu:SINE	81382	12361.0305082	30478	31038.12	31427	98.76
Orang_Jaqo_Zeb2_neg_R1	9136678	AluSg:Alu:SINE	68468	11533.7557954	29734	30286.26	30631	98.87
Orang_Jaqo_Zeb2_neg_R1	9136678	L2a:L2:LINE	144260	11606.226591	27219	27668.43	27861	99.31
Orang_Jaqo_Zeb2_neg_R1	9136678	L2c:L2:LINE	121343	11760.1537002	25796	26154.32	26271	99.56
Orang_Jaqo_Zeb2_neg_R1	9136678	MIRc:MIR:SINE	87420	10184.5557858	18108	18312.18	18394	99.56
Orang_Jaqo_Zeb2_neg_R1	9136678	AluSp:Alu:SINE	43984	7266.87695803	17609	17970.54	18158	98.97
Orang_Jaqo_Zeb2_neg_R1	9136678	L2b:L2:LINE	82520	8243.73235869	17072	17301.16	17392	99.48
Orang_Jaqo_Zeb2_neg_R1	9136678	MIR3:MIR:SINE	59611	8121.55003332	13610	13795.71	13840	99.68
Orang_Jaqo_Zeb2_neg_R1	9136678	AluSc:Alu:SINE	43869	5617.07065207	12697	13058.21	13258	98.49
Orang_Jaqo_Zeb2_neg_R1	9136678	L1M5:L1:LINE	56458	4435.62418522	12232	12448.87	12552	99.18
Orang_Jaqo_Zeb2_neg_R1	9136678	L2:L2:LINE	51848	4966.18696592	11617	11833.39	11932	99.17
Orang_Jaqo_Zeb2_neg_R1	9136678	L3:CR1:LINE	40370	4559.30377833	9511	9614.47	9650	99.63
Orang_Jaqo_Zeb2_neg_R1	9136678	L1ME4a:L1:LINE	36386	3583.84975844	8873	8966.85	9020	99.41
Orang_Jaqo_Zeb2_neg_R1	9136678	FLAM_C:Alu:SINE	31107	4892.89780218	8808	8890.16	8956	99.26
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MC4:L1:LINE	25130	2356.69378996	7329	7437.48	7472	99.54
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MC4a:L1:LINE	24144	2233.65719368	6391	6479.39	6523	99.33
Orang_Jaqo_Zeb2_neg_R1	9136678	AluSg/x:Alu:SINE	32560	3295.03294605	6304	6429.04	6556	98.06
Orang_Jaqo_Zeb2_neg_R1	9136678	MER5A:MER1_type:DNA	30263	3024.61220034	5564	5635.37	5663	99.51
Orang_Jaqo_Zeb2_neg_R1	9136678	FRAM:Alu:SINE	19413	2718.80286009	5148	5205.35	5241	99.32
Orang_Jaqo_Zeb2_neg_R1	9136678	L1ME3B:L1:LINE	23835	1742.94890492	5145	5227.31	5268	99.23
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MA3:L1:LINE	7959	2952.26813695	5109	5131.78	5138	99.88
Orang_Jaqo_Zeb2_neg_R1	9136678	L1ME1:L1:LINE	26786	1549.65371387	5060	5140.01	5189	99.06
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MB7:L1:LINE	19631	1560.48200019	4825	4923.09	4951	99.44
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MC5:L1:LINE	17558	1830.00378289	4645	4684.37	4705	99.56
Orang_Jaqo_Zeb2_neg_R1	9136678	HAL1:L1:LINE	23193	1650.08064488	4436	4508.46	4534	99.44
Orang_Jaqo_Zeb2_neg_R1	9136678	Tigger1:MER2_type:DNA	11069	858.499212719	4268	4379.58	4418	99.13
Orang_Jaqo_Zeb2_neg_R1	9136678	MER20:MER1_type:DNA	14365	2013.04069665	4071	4139.68	4154	99.66
