	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9
	6.20437987327411	6.22406494133519	6.36714474229745	6.14897734129871	6.40531926687078	6.19500827579195	5.07846166543306	5.55328786665842	5.10819169113222
DVL1	4.36328864760349	4.79970681407987	3.42219995668074	3.98555306877384	4.20416985669322	5.06383237201402	1.46220303422237	3.20066297454814	2.06716442287216
AURKAIP1	4.69185538438676	4.54307017944423	4.78218224157629	5.10167162652036	4.82760650522901	5.29117709824446	3.09691857014062	4.86607530768932	4.16546649648397
CCNL2	7.7260687476662	7.7373766978366	7.52676851753933	7.27969569067978	8.06809300414833	7.65771175830923	7.19298597988514	7.08462007358721	7.2069781073093
MRPL20	5.10025424176969	4.98027905972169	4.98032084518326	4.62238720369374	4.79838636631402	4.83140836194215	5.18581907472955	5.21225094882336	6.11043713133786
ATAD3B	4.84265372198653	5.54094073988288	4.56453056997244	3.96877735602301	4.7303933892619	4.48987686232613	2.57182752539687	4.25396120070819	2.20802695871201
SSU72	6.91716945967248	6.89198108383681	7.23192734275086	7.33637730929566	7.18806583801791	7.22425550568918	6.99070855322352	6.86240276847856	6.97282141854157
SLC35E2B	5.1501918120196	5.28003577361043	4.61193343920323	4.54527827799597	4.99793320374781	4.43235316120516	4.86532721195771	4.25396120070819	4.374219241278
NADK	8.15914793082326	8.05865373605907	8.33462024491906	7.98711583661853	8.31245210830992	8.05552166576291	7.64786096192928	7.46644183549202	7.8883251444548
FAAP20	3.02768561581905	2.90611304108481	1.33307406620776	2.779743531633	3.08217933231461	4.00256907655713	2.16847183116566	2.0190561680582	2.80413001703837
RER1	6.87111652387984	6.85817297459545	6.97069340388377	7.00316608156793	7.29784487882289	7.2931981516325	6.75923995356802	6.68525851673953	6.91490441641052
PEX10	3.17280232367886	3.62174449357214	3.23807755227201	3.7107961779155	3.88084852650599	3.8644066374996	3.1915554442787	2.72759335389788	3.12161220689454
PANK4	5.28721717356854	5.24906438654259	4.80275578153881	5.09395666139235	5.59037359258166	5.58753157727828	4.49039992605302	4.34098426294556	5.37047683959218
TNFRSF14	7.61360196453587	7.52540758215026	7.1328318404258	7.87228927317656	8.46610139555677	8.60580586788144	5.97249873550551	6.67133278080822	6.97282141854157
PRXL2B	5.5355641360748	5.38348142256357	5.7441280515681	6.32406404785681	6.34344464529535	6.03674619187522	4.76116998066642	4.79593048366104	5.07178105094253
TP73	3.49334918816786	3.73038575357596	2.45506459058637	2.7006719606418	2.81671818908627	3.2612050184934	2.76886437245642	2.77002862021828	3.19115314014762
TPRG1L	5.60627296237098	5.27491982838811	5.49195596803831	5.47870280321946	5.09124341474284	5.22496149789358	5.43827719497689	5.3995964230606	3.96167129402485
WRAP73	6.09023864745821	5.76546260078068	5.72808308499279	5.61970311912253	5.77420135696849	5.63504978120069	5.56742234627687	5.65302600951581	5.25343741840196
LRRC47	6.23445451269499	6.28894525520013	6.37059410446876	5.95393686471211	6.29719222328546	6.25430545947572	5.87605361855077	5.75690118623267	5.7388642455722
CEP104	5.64161634070547	5.53667240824608	5.437081756681	5.83863722068656	5.80391041278565	5.85895907265993	6.255934672416	5.18898116950051	5.43639823253788
DFFB	1.61519031110266	1.86584917087108	1.44200843776092	1.40890583626469	2.11809890656955	1.58533402157404	1.85813171055351	1.05382158621887	0.869225045260254
RPL22	8.55605186593925	8.38377848733161	8.79298778845552	9.00650892871572	8.96728607097457	8.98787818620005	8.97208219297601	8.97012760857125	9.0282059211272
RNF207	4.59730015220677	4.56838126797342	4.21139550961951	4.12835366917286	4.65903678339871	4.23340656614983	4.20296020755095	4.83642984594079	4.44709812119509
ICMT	6.7139637965364	6.87686539798402	7.09683971971768	6.4381454566055	6.16607202811302	6.30593282469061	6.43586264204359	6.8376773125476	6.86524153134176
GPR153	3.1589301490973	2.44170946448499	2.57951196151086	4.83169561126772	5.57753052520685	5.56540391894846	4.15679002611802	3.67273141886337	4.44709812119509
ACOT7	3.75546203853059	4.28258695913977	4.47122035897741	3.34534070748722	3.65496711908966	3.04796097937114	2.64054027548088	3.23135977177106	3.22470569985864
HES2	2.60499454399677	2.51296814765481	3.04435301671031	2.74074940001713	3.00754053142185	2.20506194045587	2.57182752539687	2.81125128294479	3.8370446395111
