	h1_1	h1_2	h1_3	h2_1	h2_2	h2_3	h3_1	h3_2	h3_3
DPM1	5.82757835032266	5.93932746897373	5.78327991996897	5.88611896230396	6.11710463366808	5.98272871895439	6.29407257688373	6.12876000710981	5.45723080054158
SCYL3	4.62460011653256	4.76536338646144	4.70562025374899	4.86030576030856	4.95633133059529	5.18148991090974	5.49877031507515	5.36283423349389	4.81445478679735
C1orf112	3.73552726697469	3.75960411717275	3.74100585248489	4.87831154836287	4.88418154483946	5.01443757868173	3.87487944811358	5.17871182908516	4.0286830148565
FGR	7.10912271613269	7.17066873987667	7.49235820208094	6.81953435129862	6.76089087289655	7.04817037389064	7.62784756098201	6.21230779835676	7.66070100140024
FUCA2	4.35310413195057	4.16014204675648	4.36978458549853	4.82824455107626	4.31759757343316	4.66550762674456	4.15629238326223	3.38264271457407	4.09931855744956
GCLC	5.68652786567576	5.86796129526317	5.79557132586907	4.75217051822979	4.93268006253065	5.06519087914637	5.87672787250595	5.05249411288174	5.84267102924655
NFYA	5.09954336736939	5.26549504690271	4.94512450144091	5.32487555319566	4.99490836270599	5.25203572180372	5.35235752216833	4.72022407377292	5.08198124101655
NIPAL3	2.91640584981713	3.12174666801947	3.2090781140856	3.63791333897211	4.14995351324208	4.13812240160022	4.10675292246091	5.61809128873596	4.91299032509789
LAS1L	5.5028990616006	5.71566076958516	5.56371354271129	6.2790189177308	6.47188160812945	6.41603732023944	6.0439821668087	4.95001115528049	6.2632129039202
ENPP4	6.68989157678428	6.61983859883331	6.51901059427301	5.36693018002283	5.26490467959297	4.93088978743478	5.76140458360479	5.60690755024329	5.17835730224157
ANKIB1	6.79358738960849	6.81664997370872	6.61055553614984	6.80548771660986	6.42744475428023	6.37926074938117	6.21737584512308	7.63882995501159	6.55651031375076
CYP51A1	6.47898857243367	6.7810838445832	6.54654377802915	6.69045153298585	6.70614172466526	6.61408412516	5.89872619006795	6.93890490304192	6.22986715811699
KRIT1	5.62319329531831	5.67135960438677	5.62008975255539	5.76311389591637	5.47597823664892	5.59570559584515	4.93643411863021	5.7150251670986	5.85146797748371
LAP3	6.27373371164895	6.44905238576944	6.36875665881387	7.32035492695024	7.42108458950079	7.2621708813098	7.19013353707763	7.08711230975131	7.14356346079289
CD99	6.59261000228812	6.6800244655139	6.79174149871717	6.23078103777861	6.41611833660744	6.07052432344941	5.92039410736595	2.88668521991166	4.70222322888107
MAD1L1	4.7536420615343	5.1818371178558	4.76308030562331	5.47737095002064	5.42603380547252	4.54807102420626	4.61184504227978	4.93219987916403	5.2242338239743
LASP1	7.72146165578515	7.74971186390315	7.49988941678693	7.55952544028739	7.23056268345136	7.2621708813098	7.85860390840075	7.04215216866028	7.8423033231044
SNX11	6.87504168070666	7.03500854658972	7.17243442375795	7.00099710717866	7.24983101715614	7.38140814998734	7.26119519438056	7.66602576579967	7.44032308101396
M6PR	7.6603612036943	7.59821978743339	7.49612872377212	7.05245532217502	7.11623000797237	7.15076661085244	7.54541768054081	7.70588175461378	7.32294142239227
ICA1	1.99682453227243	1.18613725528943	1.34072211989607	1.61124538851003	1.855119079237	2.70719352955148	0.79111109042098	3.83010169154529	2.75005175397168
DBNDD1	6.055370542076	6.62512707631272	6.03210046658306	5.32815440697267	5.06909926075724	4.87508799576642	1.93997447633546	2.12484495710642	3.23547858114193
ALS2	5.14730591002057	4.91794114433985	5.10675017966474	4.31664566755286	4.09419024172008	4.60798392562358	5.24196372416949	5.85394843349966	4.95712975383146
CASP10	3.47353414234156	3.12174666801947	2.90314205196614	3.88945210596807	3.34771756180949	3.7697349956202	4.60293948905789	2.45926399617698	3.16194954571996
CFLAR	8.64882715649054	8.57722737468418	8.55763713311952	8.09421885662269	8.1648333641483	8.1129274420811	8.88432768836411	9.35408175948493	8.90191762804769
NDUFAF7	4.77406994323209	4.44964866395147	4.69253449472933	4.32323332758762	4.55297563636409	4.59816963579663	3.65125342683802	3.57856292454933	4.58051873596906
