"","GENE","TE","TE_count","log_count"
"1","ZKSCAN3","L1PA3",979,6.88653164253051
"2","ZKSCAN3","MLT1H",849,6.74405918631135
"3","ZKSCAN3","L1PA2",641,6.46302945692067
"4","ZKSCAN3","L2a",563,6.33327962813969
"5","ZKSCAN3","L2b",506,6.22653666928747
"6","ZKSCAN5","MER1B",2488,7.81923445385907
"7","ZKSCAN5","MER1A",1467,7.29097477814298
"8","ZKSCAN5","MSTA",1442,7.27378631784489
"9","ZKSCAN5","SVA_D",1263,7.14124512235049
"10","ZKSCAN5","MLT1A0",1033,6.94022246911964
"11","ZNF135","SVA_D",659,6.49072353450251
"12","ZNF136","MER20",1696,7.43602781635185
"13","ZNF136","L2a",796,6.67959918584438
"14","ZNF136","MIRb",668,6.50428817353665
"15","ZNF136","L2c",589,6.37842618365159
"16","ZNF136","MIR",431,6.06610809010375
"17","ZNF257","AluSx",3803,8.24354550792826
"18","ZNF257","AluSx1",3503,8.16137502319749
"19","ZNF257","AluSz",3024,8.01433573729942
"20","ZNF257","AluJb",2197,7.69484807238461
"21","ZNF257","AluY",2117,7.65775527113487
"22","ZNF263","L1PA13",1700,7.43838353004431
"23","ZNF263","L1PA15",1105,7.00760061395185
"24","ZNF263","L1PREC2",846,6.74051935960622
"25","ZNF263","AluJb",798,6.68210859744981
"26","ZNF263","L1PA14",590,6.38012253689976
"27","ZNF320","L1PA8",1325,7.18916773842032
"28","ZNF320","L1PA7",1302,7.17165682276851
"29","ZNF320","L1PB1",1153,7.05012252026906
"30","ZNF320","L1HS",771,6.64768837356333
"31","ZNF320","L1MB3",556,6.32076829425058
"32","ZNF331","MSTA",2426,7.793999089504
"33","ZNF331","MIRb",1716,7.44775128004791
"34","ZNF331","L2a",1578,7.36391350140582
"35","ZNF331","MSTB",1489,7.30586003268401
"36","ZNF331","L2b",1151,7.04838640872188
"37","ZNF416","AluJb",2355,7.76429600645052
"38","ZNF416","AluSx",1512,7.32118855673948
"39","ZNF416","AluJr",1469,7.29233717617388
"40","ZNF416","AluSx1",1400,7.24422751560335
"41","ZNF416","AluSz",1254,7.13409372119287
"42","ZNF417","AluY",4527,8.41781474743596
"43","ZNF417","AluSx1",2113,7.65586401761606
"44","ZNF417","MER1B",2039,7.62021477057445
"45","ZNF417","AluSx",1893,7.54591815120932
"46","ZNF417","AluSz",1243,7.12528309151071
"47","ZNF418","L1PA3",2665,7.88795933659994
"48","ZNF418","L1PA4",2408,7.78655180642871
"49","ZNF418","L1PB1",1601,7.37838371299671
"50","ZNF418","L1PA2",1416,7.25559127425367
"51","ZNF418","LTR12C",1331,7.19368581839511
"52","ZNF449","L2a",1108,7.01031186730723
"53","ZNF449","MLT1H",903,6.80572255341699
"54","ZNF449","L2c",817,6.70563909486
"55","ZNF449","L2b",803,6.68835471394676
"56","ZNF449","MIRb",728,6.59030104819669
"57","ZNF549","L2a",1379,7.2291138777933
"58","ZNF549","L2c",802,6.68710860786651
"59","ZNF549","THE1B-int",786,6.66695679242921
"60","ZNF549","L2b",698,6.54821910276237
"61","ZNF549","L2",548,6.30627528694802
"62","ZNF667","MIR",4246,8.3537326422632
"63","ZNF667","MIRb",2466,7.81035268372429
"64","ZNF667","L2a",1602,7.3790081276283
"65","ZNF667","L2c",1113,7.01481435127554
"66","ZNF667","L2b",891,6.79234442747081
"67","ZNF675","MIRb",1978,7.58984151218266
"68","ZNF675","THE1B-int",1814,7.50328963067508
"69","ZNF675","MIR",1787,7.48829351515943
"70","ZNF675","MSTA-int",1126,7.02642680869964
"71","ZNF675","AluJb",934,6.83947643822884
"72","ZNF684","L2a",4050,8.30647216010058
"73","ZNF684","L2c",2112,7.65539064482615
"74","ZNF684","L1PA3",1588,7.37023064180708
"75","ZNF684","L2b",1547,7.34407285057307
"76","ZNF684","L2",1493,7.30854279753919
"77","ZNF701","L1PA7",1193,7.08422642209792
"78","ZNF701","AluJb",1159,7.05531284333975
"79","ZNF701","AluJr",958,6.86484777797086
"80","ZNF701","AluJo",750,6.62007320653036
"81","ZNF701","L1PA8",573,6.35088571671474
