"","Human","Chimp","Orangutan","age"
"MIR",TRUE,TRUE,TRUE,"old"
"L1MB1",TRUE,TRUE,TRUE,"old"
"L1ME1",TRUE,TRUE,TRUE,"old"
"L2a",TRUE,TRUE,TRUE,"old"
"AluSx",TRUE,TRUE,TRUE,"old"
"AluY",TRUE,TRUE,TRUE,"old"
"L1M5",TRUE,TRUE,TRUE,"old"
"AluSz",TRUE,TRUE,FALSE,"old"
"L1MA9",TRUE,TRUE,TRUE,"old"
"L3b",TRUE,TRUE,TRUE,"old"
"L1MCb",TRUE,TRUE,TRUE,"old"
"LTR86A1",TRUE,FALSE,TRUE,"old"
"MIRb",TRUE,TRUE,TRUE,"old"
"L1MEc",TRUE,TRUE,TRUE,"old"
"L2c",TRUE,TRUE,TRUE,"old"
"L3",TRUE,TRUE,TRUE,"old"
"AluSx3",TRUE,TRUE,FALSE,"old"
"MER5A1",TRUE,TRUE,TRUE,"old"
"L1MD",TRUE,TRUE,TRUE,"old"
"MER46C",TRUE,TRUE,TRUE,"old"
"L1MEg",TRUE,TRUE,TRUE,"old"
"AluJb",TRUE,TRUE,TRUE,"old"
"L1ME3C",TRUE,TRUE,FALSE,"old"
"AluJr",TRUE,TRUE,FALSE,"old"
"MIRc",TRUE,TRUE,TRUE,"old"
"AluSx1",TRUE,TRUE,FALSE,"old"
"L1MA4",TRUE,TRUE,TRUE,"old"
"AluSz6",TRUE,TRUE,FALSE,"old"
"MER5A",TRUE,TRUE,TRUE,"old"
"Tigger1",TRUE,TRUE,TRUE,"old"
"L1MA6",TRUE,TRUE,TRUE,"old"
"MADE1",TRUE,TRUE,TRUE,"young"
"MER90a",TRUE,TRUE,TRUE,"old"
"L1PA10",TRUE,TRUE,TRUE,"old"
"MER4B",TRUE,TRUE,TRUE,"old"
"L1M7",TRUE,TRUE,TRUE,"old"
"L1M4b",TRUE,TRUE,TRUE,"old"
"L1ME4a",TRUE,TRUE,TRUE,"old"
"L2b",TRUE,TRUE,TRUE,"old"
"L4",TRUE,FALSE,TRUE,"old"
"L1MEe",TRUE,FALSE,TRUE,"old"
"L2",TRUE,TRUE,TRUE,"old"
"AluJo",TRUE,TRUE,TRUE,"old"
"L1M4",TRUE,TRUE,TRUE,"old"
"L1MC1",TRUE,TRUE,TRUE,"old"
"L1MC4",TRUE,TRUE,TRUE,"old"
"L1PA8",TRUE,TRUE,TRUE,"old"
"L1MC4a",TRUE,TRUE,TRUE,"old"
"HAL1",TRUE,TRUE,TRUE,"old"
"L1MEf",TRUE,TRUE,TRUE,"old"
"L1ME3B",TRUE,TRUE,TRUE,"old"
"L1ME3A",TRUE,TRUE,TRUE,"old"
"MIR3",TRUE,TRUE,TRUE,"old"
"LTR16A",TRUE,TRUE,TRUE,"old"
"L1MC5",TRUE,TRUE,TRUE,"old"
"MER58A",TRUE,TRUE,TRUE,"old"
"MLT1B",TRUE,TRUE,TRUE,"old"
"MamRep137",TRUE,TRUE,TRUE,"old"
"L1MB7",TRUE,TRUE,TRUE,"old"
"L1MC",TRUE,TRUE,TRUE,"old"
"MER20",TRUE,TRUE,TRUE,"old"
"Charlie2b",TRUE,TRUE,TRUE,"old"
"L1MB2",TRUE,TRUE,TRUE,"old"
"L1MD2",TRUE,TRUE,TRUE,"old"
"L1ME3D",TRUE,TRUE,FALSE,"old"
"MLT1A0",TRUE,TRUE,TRUE,"old"
"L1MC3",TRUE,TRUE,TRUE,"old"
"MER5B",TRUE,TRUE,TRUE,"old"
"AluSc",TRUE,TRUE,TRUE,"old"
"L1M6",TRUE,TRUE,TRUE,"old"
"L1MEd",TRUE,TRUE,TRUE,"old"
"LTR33A_",TRUE,TRUE,TRUE,"old"
"MER20B",TRUE,TRUE,TRUE,"old"
"BLACKJACK",TRUE,TRUE,TRUE,"old"
"L1MA7",TRUE,TRUE,TRUE,"old"
"L1ME2z",TRUE,TRUE,TRUE,"old"
"MER3",TRUE,TRUE,TRUE,"old"
"MLT1I",TRUE,TRUE,TRUE,"old"
"Charlie7",TRUE,TRUE,TRUE,"old"
"L1M1",TRUE,TRUE,TRUE,"old"
"L1MC2",TRUE,TRUE,TRUE,"old"
"L1MD1",TRUE,TRUE,TRUE,"old"
"L1ME2",TRUE,TRUE,TRUE,"old"
"L1PA13",TRUE,TRUE,TRUE,"old"
"L1PA15",TRUE,TRUE,TRUE,"old"
"MER67D",TRUE,FALSE,TRUE,"old"
"MLT1D",TRUE,TRUE,TRUE,"old"
"FLAM_A",TRUE,TRUE,TRUE,"old"
"L1MA5A",TRUE,TRUE,TRUE,"old"
"L1MB4",TRUE,TRUE,TRUE,"old"
"L1ME3E",TRUE,TRUE,FALSE,"old"
"L1ME3F",TRUE,TRUE,FALSE,"old"
"MER2",TRUE,TRUE,TRUE,"old"
