repFamily	Antisense	Sense	total	antisense_prop	p_value	sig	preference
L1	187	100	287	0.651567944250871	3.15120389809918e-07	*	Antisense Bias
ERVL-MaLR	16	1	17	0.941176470588235	0.000274658203125	*	Antisense Bias
hAT-Charlie	38	21	59	0.64406779661017	0.0363431799570539	*	Antisense Bias
CR1	2	8	10	0.2	0.109375	ns	Sense Bias
MIR	54	69	123	0.439024390243902	0.206647108984943	ns	Sense Bias
ERVL	5	1	6	0.833333333333333	0.21875	ns	Antisense Bias
ERV1	3	0	3	1	0.25	ns	Antisense Bias
Alu	66	80	146	0.452054794520548	0.281936534129873	ns	Sense Bias
L2	39	30	69	0.565217391304348	0.335557618234017	ns	Antisense Bias
DNA	0	2	2	0	0.5	ns	Sense Bias
hAT-Blackjack	1	3	4	0.25	0.625	ns	Sense Bias
RTE-X	5	3	8	0.625	0.7265625	ns	Antisense Bias
TcMar-Tigger	25	28	53	0.471698113207547	0.7838463022095	ns	Sense Bias
Deu	0	1	1	0	1	ns	Sense Bias
TcMar-Mariner	2	3	5	0.4	1	ns	Sense Bias
TcMar-Tc2	7	6	13	0.538461538461538	1	ns	Antisense Bias
hAT	1	1	2	0.5	1	ns	No Bias
hAT-Tip100	1	0	1	1	1	ns	Antisense Bias
