"gene","TE_name","pair","minuslog10Pval"
"ZNF180","Charlie8","Charlie8:ZNF180",99.43901693
"ZNF180","MER102c","MER102c:ZNF180",134.784534184
"ZNF133","MER63A","MER63A:ZNF133",1.58011234472
"ZNF285","MER63A","MER63A:ZNF285",105.004077489
"ZNF285","MER63B","MER63B:ZNF285",70.7539748165
"ZNF254","MLT2A1","MLT2A1:ZNF254",319.942227513
"ZNF707","MLT2A1","MLT2A1:ZNF707",1.58516106753
"ZNF793","MLT2A1","MLT2A1:ZNF793",16.6502879392
"ZNF254","MLT2A2","MLT2A2:ZNF254",319.942227513
"ZNF793","MLT2A2","MLT2A2:ZNF793",17.2658031845
"ZNF254","LTR22A","LTR22A:ZNF254",24.6760947775
"ZNF573","LTR22A","LTR22A:ZNF573",1.46112047082
"ZIK1","MLT1F2","MLT1F2:ZIK1",2.19688096313
"ZNF565","MLT1F2","MLT1F2:ZNF565",2.14409855061
"ZNF304","MLT1F2","MLT1F2:ZNF304",319.942227513
"ZNF534","MLT1E1A","MLT1E1A:ZNF534",1.93133145035
"ZNF266","MLT1E1A","MLT1E1A:ZNF266",2.06067559576
"ZNF304","MLT1E1A","MLT1E1A:ZNF304",149.177110965
"ZNF181","MLT1E1A","MLT1E1A:ZNF181",9.52602446498
"ZIM3","MLT1E1A","MLT1E1A:ZIM3",8.30814260609
"ZIK1","MLT1E1","MLT1E1:ZIK1",2.76027203276
"ZNF304","MLT1E1","MLT1E1:ZNF304",39.2493162317
"ZNF181","MLT1E1","MLT1E1:ZNF181",4.30544190054
"ZIM3","MLT1E1","MLT1E1:ZIM3",3.79654522257
"ZNF615","MLT1F","MLT1F:ZNF615",1.45458755454
"ZNF331","MLT1F","MLT1F:ZNF331",6.79990336127
"ZNF565","MLT1F","MLT1F:ZNF565",157.225728743
"ZNF304","MLT1F","MLT1F:ZNF304",316.160414641
"ZNF354A","MLT1F1","MLT1F1:ZNF354A",1.35968884352
"ZNF266","MLT1F1","MLT1F1:ZNF266",2.24520445199
"ZNF331","MLT1F1","MLT1F1:ZNF331",6.65175310699
"ZNF565","MLT1F1","MLT1F1:ZNF565",85.5681103908
"ZNF304","MLT1F1","MLT1F1:ZNF304",259.184305781
"ZNF793","MLT1G","MLT1G:ZNF793",1.40845327575
"ZNF33A","MLT1G","MLT1G:ZNF33A",1.83390483199
"ZNF479","MLT1G","MLT1G:ZNF479",30.1883091615
"ZNF573","MLT1G","MLT1G:ZNF573",1.80102349822
"ZNF331","MLT1G","MLT1G:ZNF331",22.1286550017
"ZNF565","MLT1G","MLT1G:ZNF565",241.345857856
"ZNF333","MLT1G","MLT1G:ZNF333",2.84287427366
"ZNF69","MLT1G3","MLT1G3:ZNF69",1.38795777668
"ZNF793","MLT1G3","MLT1G3:ZNF793",1.51989330875
"ZNF479","MLT1G3","MLT1G3:ZNF479",13.7602518279
"ZNF266","MLT1G3","MLT1G3:ZNF266",1.60083452489
"ZNF331","MLT1G3","MLT1G3:ZNF331",31.2596908337
"ZNF565","MLT1G3","MLT1G3:ZNF565",209.681024065
"ZNF304","MLT1G3","MLT1G3:ZNF304",1.83535221281
"ZNF506","MLT1G1","MLT1G1:ZNF506",2.78961420326
"ZFP57","MLT1G1","MLT1G1:ZFP57",1.48842873452
"ZNF331","MLT1G1","MLT1G1:ZNF331",91.9414853127
"ZNF565","MLT1G1","MLT1G1:ZNF565",319.942227513
"ZNF793","MLT1H1","MLT1H1:ZNF793",2.02039437186
"ZNF331","MLT1H1","MLT1H1:ZNF331",297.514505064
"ZNF565","MLT1H1","MLT1H1:ZNF565",25.3539647974
"ZNF304","MLT1H1","MLT1H1:ZNF304",2.32830016572
"ZNF283","MLT1H2","MLT1H2:ZNF283",28.4261290627
"ZNF331","MLT1H2","MLT1H2:ZNF331",250.192750161
"ZNF565","MLT1H2","MLT1H2:ZNF565",8.33681739308
"ZNF333","MLT1H2","MLT1H2:ZNF333",3.81911781553
"ZNF799","MLT1H","MLT1H:ZNF799",1.74579642484
"ZNF684","MLT1H","MLT1H:ZNF684",1.44577405172
"ZNF283","MLT1H","MLT1H:ZNF283",319.942227513
"ZNF331","MLT1H","MLT1H:ZNF331",319.942227513
"ZNF333","MLT1H","MLT1H:ZNF333",16.7690730952
"ZNF12","MLT1H","MLT1H:ZNF12",1.48738572824
"ZIK1","MADE1","MADE1:ZIK1",55.5059933723
"ZNF135","MamRep605","MamRep605:ZNF135",23.8603318637
"ZNF135","MamRep605b","MamRep605b:ZNF135",49.9076068847
"ZNF460","AluYg6","AluYg6:ZNF460",1.74425043227
"ZNF441","AluYg6","AluYg6:ZNF441",319.942227513
"ZNF334","AluYa5","AluYa5:ZNF334",1.96778714696
"ZNF273","AluYa5","AluYa5:ZNF273",2.14624947156
"ZNF460","AluYa5","AluYa5:ZNF460",2.31478157279
"ZNF182","AluYa5","AluYa5:ZNF182",2.78054282856
"ZNF441","AluYa5","AluYa5:ZNF441",319.942227513
"ZNF182","AluYb9","AluYb9:ZNF182",2.00292733378
"ZNF441","AluYb9","AluYb9:ZNF441",152.544112774
"ZNF334","AluYb8","AluYb8:ZNF334",5.29246229061
"ZNF441","AluYb8","AluYb8:ZNF441",319.942227513
"ZNF675","AluYd8","AluYd8:ZNF675",11.6727372397
"ZNF441","AluYd8","AluYd8:ZNF441",199.19264642
"ZNF445","AluYd8","AluYd8:ZNF445",2.89373165068
"ZNF182","AluYa8","AluYa8:ZNF182",1.40826893887
"ZNF441","AluYa8","AluYa8:ZNF441",37.3693672347
"ZNF445","AluYa8","AluYa8:ZNF445",1.43763959685
"ZNF460","AluYh3","AluYh3:ZNF460",1.84726867875
"ZNF284","AluYh3","AluYh3:ZNF284",1.46038149547
"ZNF441","AluYh3","AluYh3:ZNF441",25.0282457523
"ZNF616","AluYk3","AluYk3:ZNF616",1.81606527942
"ZNF460","AluYk3","AluYk3:ZNF460",25.44469134
"ZNF182","AluYk3","AluYk3:ZNF182",9.76714775629
"ZNF284","AluYk3","AluYk3:ZNF284",1.94581655452
"ZNF441","AluYk3","AluYk3:ZNF441",135.307659891
"ZNF519","AluYj4","AluYj4:ZNF519",1.39050971426
