ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0007411	axon guidance	28/1321	128/16083	0.21875	2.66325227100681	5.6514975396047	1.31787324221005e-06	0.00213185309699842	0.00203613206885487	ENSPPYG00000004430/ENSPPYG00000029658/ENSPPYG00000005749/ENSPPYG00000006045/ENSPPYG00000006676/ENSPPYG00000009165/ENSPPYG00000009166/ENSPPYG00000013085/ENSPPYG00000013102/ENSPPYG00000013217/ENSPPYG00000013524/ENSPPYG00000013581/ENSPPYG00000013634/ENSPPYG00000013709/ENSPPYG00000013781/ENSPPYG00000014118/ENSPPYG00000014633/ENSPPYG00000014938/ENSPPYG00000014939/ENSPPYG00000015449/ENSPPYG00000016851/ENSPPYG00000017768/ENSPPYG00000017772/ENSPPYG00000017855/ENSPPYG00000017861/ENSPPYG00000017885/ENSPPYG00000018477/ENSPPYG00000018836	28
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	22/1321	87/16083	0.252873563218391	3.07870213265812	5.81560668908036	1.38960518032814e-06	0.00213185309699842	0.00203613206885487	ENSPPYG00000002359/ENSPPYG00000002436/ENSPPYG00000005403/ENSPPYG00000005407/ENSPPYG00000007415/ENSPPYG00000007416/ENSPPYG00000009082/ENSPPYG00000009083/ENSPPYG00000009226/ENSPPYG00000009227/ENSPPYG00000013521/ENSPPYG00000013561/ENSPPYG00000013634/ENSPPYG00000015064/ENSPPYG00000015065/ENSPPYG00000015363/ENSPPYG00000015364/ENSPPYG00000015367/ENSPPYG00000015368/ENSPPYG00000015369/ENSPPYG00000015877/ENSPPYG00000018748	22
GO:0097485	neuron projection guidance	28/1321	130/16083	0.215384615384615	2.62227915914517	5.55552261399161	1.82700107093216e-06	0.00213185309699842	0.00203613206885487	ENSPPYG00000004430/ENSPPYG00000029658/ENSPPYG00000005749/ENSPPYG00000006045/ENSPPYG00000006676/ENSPPYG00000009165/ENSPPYG00000009166/ENSPPYG00000013085/ENSPPYG00000013102/ENSPPYG00000013217/ENSPPYG00000013524/ENSPPYG00000013581/ENSPPYG00000013634/ENSPPYG00000013709/ENSPPYG00000013781/ENSPPYG00000014118/ENSPPYG00000014633/ENSPPYG00000014938/ENSPPYG00000014939/ENSPPYG00000015449/ENSPPYG00000016851/ENSPPYG00000017768/ENSPPYG00000017772/ENSPPYG00000017855/ENSPPYG00000017861/ENSPPYG00000017885/ENSPPYG00000018477/ENSPPYG00000018836	28
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	30/1321	145/16083	0.206896551724138	2.51893810853846	5.49611745557036	1.92709884474434e-06	0.00213185309699842	0.00203613206885487	ENSPPYG00000000524/ENSPPYG00000002359/ENSPPYG00000002436/ENSPPYG00000005403/ENSPPYG00000005407/ENSPPYG00000005434/ENSPPYG00000007415/ENSPPYG00000007416/ENSPPYG00000009082/ENSPPYG00000009083/ENSPPYG00000009226/ENSPPYG00000009227/ENSPPYG00000013521/ENSPPYG00000013561/ENSPPYG00000013581/ENSPPYG00000013634/ENSPPYG00000014269/ENSPPYG00000014309/ENSPPYG00000014405/ENSPPYG00000014934/ENSPPYG00000015064/ENSPPYG00000015065/ENSPPYG00000015363/ENSPPYG00000015364/ENSPPYG00000015367/ENSPPYG00000015368/ENSPPYG00000015369/ENSPPYG00000015877/ENSPPYG00000018506/ENSPPYG00000018748	30
GO:0048667	cell morphogenesis involved in neuron differentiation	53/1321	346/16083	0.153179190751445	1.86493635492467	4.86530494465117	7.08569381390334e-06	0.00627083902530446	0.00598927592901514	ENSPPYG00000002359/ENSPPYG00000002439/ENSPPYG00000003744/ENSPPYG00000003979/ENSPPYG00000004394/ENSPPYG00000029445/ENSPPYG00000004430/ENSPPYG00000004803/ENSPPYG00000029658/ENSPPYG00000005434/ENSPPYG00000005436/ENSPPYG00000005437/ENSPPYG00000005749/ENSPPYG00000005960/ENSPPYG00000006045/ENSPPYG00000006676/ENSPPYG00000007415/ENSPPYG00000009165/ENSPPYG00000009166/ENSPPYG00000012374/ENSPPYG00000012859/ENSPPYG00000013085/ENSPPYG00000013102/ENSPPYG00000013115/ENSPPYG00000013128/ENSPPYG00000013148/ENSPPYG00000013217/ENSPPYG00000013524/ENSPPYG00000013581/ENSPPYG00000013634/ENSPPYG00000013709/ENSPPYG00000013781/ENSPPYG00000014061/ENSPPYG00000014118/ENSPPYG00000014269/ENSPPYG00000014309/ENSPPYG00000014633/ENSPPYG00000014938/ENSPPYG00000014939/ENSPPYG00000015449/ENSPPYG00000016251/ENSPPYG00000016755/ENSPPYG00000016800/ENSPPYG00000016851/ENSPPYG00000016860/ENSPPYG00000017768/ENSPPYG00000017772/ENSPPYG00000017855/ENSPPYG00000017861/ENSPPYG00000017885/ENSPPYG00000017949/ENSPPYG00000018477/ENSPPYG00000018836	53
GO:0061564	axon development	45/1321	281/16083	0.160142348754448	1.94971188116411	4.80438541196729	1.09195867314066e-05	0.00805319521441236	0.00769160363624517	ENSPPYG00000000374/ENSPPYG00000002439/ENSPPYG00000003744/ENSPPYG00000004430/ENSPPYG00000029658/ENSPPYG00000005434/ENSPPYG00000005436/ENSPPYG00000005437/ENSPPYG00000005749/ENSPPYG00000005960/ENSPPYG00000006045/ENSPPYG00000006676/ENSPPYG00000007415/ENSPPYG00000009165/ENSPPYG00000009166/ENSPPYG00000012859/ENSPPYG00000013085/ENSPPYG00000013102/ENSPPYG00000013115/ENSPPYG00000013148/ENSPPYG00000013217/ENSPPYG00000013524/ENSPPYG00000013581/ENSPPYG00000013634/ENSPPYG00000013691/ENSPPYG00000013709/ENSPPYG00000013781/ENSPPYG00000014061/ENSPPYG00000014118/ENSPPYG00000014269/ENSPPYG00000014633/ENSPPYG00000014938/ENSPPYG00000014939/ENSPPYG00000015449/ENSPPYG00000016833/ENSPPYG00000016851/ENSPPYG00000016860/ENSPPYG00000017768/ENSPPYG00000017772/ENSPPYG00000017855/ENSPPYG00000017861/ENSPPYG00000017885/ENSPPYG00000017949/ENSPPYG00000018477/ENSPPYG00000018836	45
GO:0007409	axonogenesis	42/1321	258/16083	0.162790697674419	1.98195517842367	4.75640137079997	1.41485093232169e-05	0.00811057695319891	0.00774640891277874	ENSPPYG00000002439/ENSPPYG00000003744/ENSPPYG00000004430/ENSPPYG00000029658/ENSPPYG00000005434/ENSPPYG00000005436/ENSPPYG00000005437/ENSPPYG00000005749/ENSPPYG00000005960/ENSPPYG00000006045/ENSPPYG00000006676/ENSPPYG00000007415/ENSPPYG00000009165/ENSPPYG00000009166/ENSPPYG00000012859/ENSPPYG00000013085/ENSPPYG00000013102/ENSPPYG00000013115/ENSPPYG00000013148/ENSPPYG00000013217/ENSPPYG00000013524/ENSPPYG00000013581/ENSPPYG00000013634/ENSPPYG00000013709/ENSPPYG00000013781/ENSPPYG00000014061/ENSPPYG00000014118/ENSPPYG00000014269/ENSPPYG00000014633/ENSPPYG00000014938/ENSPPYG00000014939/ENSPPYG00000015449/ENSPPYG00000016851/ENSPPYG00000016860/ENSPPYG00000017768/ENSPPYG00000017772/ENSPPYG00000017855/ENSPPYG00000017861/ENSPPYG00000017885/ENSPPYG00000017949/ENSPPYG00000018477/ENSPPYG00000018836	42
GO:0048812	neuron projection morphogenesis	55/1321	373/16083	0.14745308310992	1.79522175295748	4.64839913909599	1.49101004818599e-05	0.00811057695319891	0.00774640891277874	ENSPPYG00000002439/ENSPPYG00000002471/ENSPPYG00000003744/ENSPPYG00000004394/ENSPPYG00000029445/ENSPPYG00000004430/ENSPPYG00000004794/ENSPPYG00000004803/ENSPPYG00000029658/ENSPPYG00000005434/ENSPPYG00000005436/ENSPPYG00000005437/ENSPPYG00000005495/ENSPPYG00000005749/ENSPPYG00000005960/ENSPPYG00000006045/ENSPPYG00000006676/ENSPPYG00000007415/ENSPPYG00000009165/ENSPPYG00000009166/ENSPPYG00000012859/ENSPPYG00000013085/ENSPPYG00000013102/ENSPPYG00000013115/ENSPPYG00000013128/ENSPPYG00000013148/ENSPPYG00000013217/ENSPPYG00000013524/ENSPPYG00000013581/ENSPPYG00000013634/ENSPPYG00000013709/ENSPPYG00000013781/ENSPPYG00000014061/ENSPPYG00000014118/ENSPPYG00000014269/ENSPPYG00000014309/ENSPPYG00000014408/ENSPPYG00000014633/ENSPPYG00000014938/ENSPPYG00000014939/ENSPPYG00000015449/ENSPPYG00000016251/ENSPPYG00000016755/ENSPPYG00000016800/ENSPPYG00000016851/ENSPPYG00000016860/ENSPPYG00000016918/ENSPPYG00000017768/ENSPPYG00000017772/ENSPPYG00000017855/ENSPPYG00000017861/ENSPPYG00000017885/ENSPPYG00000017949/ENSPPYG00000018477/ENSPPYG00000018836	55
GO:0010975	regulation of neuron projection development	39/1321	235/16083	0.165957446808511	2.02050992961489	4.71425175971441	1.80361254926381e-05	0.00811057695319891	0.00774640891277874	ENSPPYG00000000374/ENSPPYG00000029385/ENSPPYG00000001239/ENSPPYG00000004394/ENSPPYG00000029445/ENSPPYG00000004417/ENSPPYG00000004803/ENSPPYG00000029658/ENSPPYG00000005434/ENSPPYG00000005960/ENSPPYG00000009121/ENSPPYG00000029453/ENSPPYG00000012522/ENSPPYG00000012693/ENSPPYG00000013000/ENSPPYG00000013085/ENSPPYG00000013148/ENSPPYG00000013217/ENSPPYG00000013257/ENSPPYG00000013369/ENSPPYG00000013634/ENSPPYG00000013646/ENSPPYG00000013781/ENSPPYG00000014118/ENSPPYG00000014309/ENSPPYG00000014633/ENSPPYG00000014874/ENSPPYG00000014934/ENSPPYG00000016733/ENSPPYG00000016755/ENSPPYG00000016851/ENSPPYG00000016853/ENSPPYG00000016860/ENSPPYG00000017855/ENSPPYG00000017885/ENSPPYG00000018583/ENSPPYG00000018692/ENSPPYG00000018828/ENSPPYG00000019262	39
GO:0007610	behavior	64/1321	459/16083	0.139433551198257	1.69758501432367	4.53582413179341	1.90740018740369e-05	0.00811057695319891	0.00774640891277874	ENSPPYG00000001233/ENSPPYG00000001239/ENSPPYG00000001267/ENSPPYG00000002359/ENSPPYG00000003744/ENSPPYG00000003754/ENSPPYG00000029445/ENSPPYG00000004417/ENSPPYG00000004881/ENSPPYG00000005408/ENSPPYG00000005409/ENSPPYG00000005434/ENSPPYG00000005436/ENSPPYG00000005437/ENSPPYG00000005749/ENSPPYG00000005881/ENSPPYG00000006332/ENSPPYG00000006479/ENSPPYG00000008807/ENSPPYG00000009237/ENSPPYG00000010700/ENSPPYG00000010703/ENSPPYG00000012522/ENSPPYG00000012793/ENSPPYG00000012859/ENSPPYG00000012883/ENSPPYG00000012894/ENSPPYG00000012899/ENSPPYG00000013115/ENSPPYG00000013217/ENSPPYG00000013701/ENSPPYG00000013709/ENSPPYG00000014063/ENSPPYG00000014224/ENSPPYG00000014309/ENSPPYG00000014412/ENSPPYG00000014699/ENSPPYG00000014760/ENSPPYG00000015066/ENSPPYG00000015446/ENSPPYG00000015500/ENSPPYG00000015558/ENSPPYG00000015628/ENSPPYG00000015800/ENSPPYG00000015969/ENSPPYG00000016731/ENSPPYG00000016755/ENSPPYG00000016787/ENSPPYG00000016800/ENSPPYG00000016870/ENSPPYG00000017075/ENSPPYG00000017745/ENSPPYG00000017772/ENSPPYG00000017885/ENSPPYG00000017897/ENSPPYG00000017943/ENSPPYG00000017949/ENSPPYG00000018734/ENSPPYG00000018815/ENSPPYG00000018836/ENSPPYG00000019167/ENSPPYG00000019333/ENSPPYG00000019549/ENSPPYG00000019612	64
