"ENSG","geneName","description"
"ENSPTRG00000000784","USP24","ubiquitin specific peptidase 24 [Source:VGNC Symbol;Acc:VGNC:1720]"
"ENSPTRG00000000799","HOOK1","hook microtubule tethering protein 1 [Source:VGNC Symbol;Acc:VGNC:8050]"
"ENSPTRG00000000816","ITGB3BP","integrin subunit beta 3 binding protein [Source:VGNC Symbol;Acc:VGNC:6891]"
"ENSPTRG00000000837","MIER1","MIER1 transcriptional regulator [Source:VGNC Symbol;Acc:VGNC:1321]"
"ENSPTRG00000000856","ZRANB2","zinc finger RANBP2-type containing 2 [Source:VGNC Symbol;Acc:VGNC:8143]"
"ENSPTRG00000040236","FPGT","fucose-1-phosphate guanylyltransferase [Source:VGNC Symbol;Acc:VGNC:11435]"
"ENSPTRG00000000892","IFI44L","interferon induced protein 44 like [Source:VGNC Symbol;Acc:VGNC:6882]"
"ENSPTRG00000000899","PRKACB","protein kinase cAMP-activated catalytic subunit beta [Source:VGNC Symbol;Acc:VGNC:11804]"
"ENSPTRG00000000960","RPAP2","RNA polymerase II associated protein 2 [Source:VGNC Symbol;Acc:VGNC:1499]"
"ENSPTRG00000000962","EVI5","ecotropic viral integration site 5 [Source:VGNC Symbol;Acc:VGNC:54636]"
"ENSPTRG00000000970","FNBP1L","formin binding protein 1 like [Source:VGNC Symbol;Acc:VGNC:6826]"
"ENSPTRG00000001011","SLC30A7","solute carrier family 30 member 7 [Source:VGNC Symbol;Acc:VGNC:8111]"
"ENSPTRG00000001017","COL11A1","collagen type XI alpha 1 chain [Source:VGNC Symbol;Acc:VGNC:10666]"
"ENSPTRG00000001024","VAV3","vav guanine nucleotide exchange factor 3 [Source:VGNC Symbol;Acc:VGNC:1722]"
"ENSPTRG00000001213","GPR89A","G protein-coupled receptor 89A [Source:NCBI gene (formerly Entrezgene);Acc:457978]"
"ENSPTRG00000023567","PDZK1","PDZ domain containing 1 [Source:VGNC Symbol;Acc:VGNC:11606]"
"ENSPTRG00000001143","SYCP1","synaptonemal complex protein 1 [Source:VGNC Symbol;Acc:VGNC:1657]"
"ENSPTRG00000001711","COP1","COP1 E3 ubiquitin ligase [Source:VGNC Symbol;Acc:VGNC:9457]"
"ENSPTRG00000001722","RALGPS2","Ral GEF with PH domain and SH3 binding motif 2 [Source:VGNC Symbol;Acc:VGNC:11021]"
"ENSPTRG00000001738","CEP350","centrosomal protein 350 [Source:VGNC Symbol;Acc:VGNC:493]"
"ENSPTRG00000001776","TRMT1L","tRNA methyltransferase 1 like [Source:VGNC Symbol;Acc:VGNC:1706]"
"ENSPTRG00000001784","ODR4","odr-4 GPCR localization factor homolog [Source:VGNC Symbol;Acc:VGNC:11745]"
"ENSPTRG00000001807","ASPM","assembly factor for spindle microtubules [Source:VGNC Symbol;Acc:VGNC:52941]"
"ENSPTRG00000001815","NEK7","NIMA related kinase 7 [Source:VGNC Symbol;Acc:VGNC:11557]"
"ENSPTRG00000001817","PTPRC","protein tyrosine phosphatase receptor type C [Source:VGNC Symbol;Acc:VGNC:9888]"
"ENSPTRG00000001822","CAMSAP2","calmodulin regulated spectrin associated protein family member 2 [Source:VGNC Symbol;Acc:VGNC:5000]"
"ENSPTRG00000023098","ENSPTRG00000023098","None"
"ENSPTRG00000001955","INTS7","integrator complex subunit 7 [Source:VGNC Symbol;Acc:VGNC:1273]"
"ENSPTRG00000001972","RPS6KC1","ribosomal protein S6 kinase C1 [Source:VGNC Symbol;Acc:VGNC:9455]"
"ENSPTRG00000001997","IARS2","isoleucyl-tRNA synthetase 2, mitochondrial [Source:VGNC Symbol;Acc:VGNC:9039]"
"ENSPTRG00000002012","BROX","BRO1 domain and CAAX motif containing [Source:VGNC Symbol;Acc:VGNC:4974]"
"ENSPTRG00000002129","ARID4B","AT-rich interaction domain 4B [Source:VGNC Symbol;Acc:VGNC:6723]"
"ENSPTRG00000002134","LYST","lysosomal trafficking regulator [Source:VGNC Symbol;Acc:VGNC:1308]"
"ENSPTRG00000002137","ERO1B","endoplasmic reticulum oxidoreductase 1 beta [Source:VGNC Symbol;Acc:VGNC:533]"
"ENSPTRG00000002164","KMO","kynurenine 3-monooxygenase [Source:VGNC Symbol;Acc:VGNC:11491]"
"ENSPTRG00000002172","CEP170","centrosomal protein 170 [Source:VGNC Symbol;Acc:VGNC:10565]"
"ENSPTRG00000002376","ANKRD26","ankyrin repeat domain containing 26 [Source:VGNC Symbol;Acc:VGNC:3804]"
"ENSPTRG00000002410","EPC1","enhancer of polycomb homolog 1 [Source:VGNC Symbol;Acc:VGNC:7276]"
"ENSPTRG00000002536","RTKN2","rhotekin 2 [Source:VGNC Symbol;Acc:VGNC:12487]"
"ENSPTRG00000002540","JMJD1C","jumonji domain containing 1C [Source:VGNC Symbol;Acc:VGNC:4718]"
"ENSPTRG00000002549","HERC4","HECT and RLD domain containing E3 ubiquitin protein ligase 4 [Source:VGNC Symbol;Acc:VGNC:12342]"
"ENSPTRG00000002554","RUFY2","RUN and FYVE domain containing 2 [Source:VGNC Symbol;Acc:VGNC:12488]"
"ENSPTRG00000002560","CCAR1","cell division cycle and apoptosis regulator 1 [Source:VGNC Symbol;Acc:VGNC:1624]"
"ENSPTRG00000002619","P4HA1","prolyl 4-hydroxylase subunit alpha 1 [Source:VGNC Symbol;Acc:VGNC:12413]"
"ENSPTRG00000002649","ADK","adenosine kinase [Source:VGNC Symbol;Acc:VGNC:3796]"
"ENSPTRG00000002719","PTEN","phosphatase and tensin homolog [Source:VGNC Symbol;Acc:VGNC:12442]"
"ENSPTRG00000022813","KIF20B","kinesin family member 20B [Source:VGNC Symbol;Acc:VGNC:4723]"
"ENSPTRG00000023952","PCGF5","polycomb group ring finger 5 [Source:VGNC Symbol;Acc:VGNC:5589]"
"ENSPTRG00000002751","BTAF1","B-TFIID TATA-box binding protein associated factor 1 [Source:VGNC Symbol;Acc:VGNC:11671]"
"ENSPTRG00000002753","CPEB3","cytoplasmic polyadenylation element binding protein 3 [Source:VGNC Symbol;Acc:VGNC:12286]"
"ENSPTRG00000002776","NOC3L","NOC3 like DNA replication regulator [Source:VGNC Symbol;Acc:VGNC:7243]"
"ENSPTRG00000002778","HELLS","helicase, lymphoid specific [Source:HGNC Symbol;Acc:HGNC:4861]"
"ENSPTRG00000002797","TM9SF3","transmembrane 9 superfamily member 3 [Source:VGNC Symbol;Acc:VGNC:12512]"
"ENSPTRG00000002940","PDCD4","programmed cell death 4 [Source:VGNC Symbol;Acc:VGNC:14563]"
"ENSPTRG00000034773","MIR548E","microRNA mir-548e [Source:NCBI gene (formerly Entrezgene);Acc:101954244]"
"ENSPTRG00000002996","TIAL1","TIA1 cytotoxic granule associated RNA binding protein like 1 [Source:VGNC Symbol;Acc:VGNC:14329]"
"ENSPTRG00000035429","U2","U2 spliceosomal RNA [Source:RFAM;Acc:RF00004]"
"ENSPTRG00000003350","WEE1","WEE1 G2 checkpoint kinase [Source:VGNC Symbol;Acc:VGNC:939]"
"ENSPTRG00000038187","ENSPTRG00000038187","None"
"ENSPTRG00000041340","MTRNR2L8","MT-RNR2 like 8 [Source:NCBI gene (formerly Entrezgene);Acc:100499444]"
"ENSPTRG00000023779","CTR9","CTR9 homolog, Paf1/RNA polymerase II complex component [Source:VGNC Symbol;Acc:VGNC:6756]"
"ENSPTRG00000003386","PDE3B","phosphodiesterase 3B [Source:VGNC Symbol;Acc:VGNC:3073]"
"ENSPTRG00000003446","GAS2","growth arrest specific 2 [Source:VGNC Symbol;Acc:VGNC:3271]"
"ENSPTRG00000003473","ELP4","elongator acetyltransferase complex subunit 4 [Source:VGNC Symbol;Acc:VGNC:11346]"
"ENSPTRG00000003486","HIPK3","homeodomain interacting protein kinase 3 [Source:VGNC Symbol;Acc:VGNC:1072]"
"ENSPTRG00000004126","PCF11","PCF11 cleavage and polyadenylation factor subunit [Source:VGNC Symbol;Acc:VGNC:1093]"
"ENSPTRG00000004141","PICALM","phosphatidylinositol binding clathrin assembly protein [Source:VGNC Symbol;Acc:VGNC:3070]"
"ENSPTRG00000004213","BIRC2","baculoviral IAP repeat containing 2 [Source:VGNC Symbol;Acc:VGNC:3201]"
"ENSPTRG00000004224","DYNC2H1","dynein cytoplasmic 2 heavy chain 1 [Source:VGNC Symbol;Acc:VGNC:8301]"
