CHROM,START,END,MOTIF,STRAND,PVALUE,TE,family_id,class_id
chr1,217598332,217598350,MA1600.1,+,3.2e-09,MER41E,ERV1,LTR
chr3,59419053,59419071,MA1600.1,+,3.58e-09,L2a,L2,LINE
chr6,12639586,12639604,MA1600.1,+,6.48e-09,L2a,L2,LINE
chr15,20322374,20322392,MA1600.1,-,7.06e-09,MER11B,ERVK,LTR
chr11,23864167,23864185,MA1600.1,+,1.1e-08,MLT1I,ERVL-MaLR,LTR
chr21,38599609,38599627,MA1600.1,-,1.11e-08,MER11C,ERVK,LTR
chr15,80153031,80153049,MA1600.1,+,1.11e-08,MER11C,ERVK,LTR
chr15,83357757,83357775,MA1600.1,-,1.11e-08,MER11C,ERVK,LTR
chr19,55849158,55849176,MA1600.1,-,1.24e-08,MER41B,ERV1,LTR
chr17,70199632,70199650,MA1600.1,+,1.26e-08,MER41B,ERV1,LTR
chr20,34866651,34866669,MA1600.1,+,1.28e-08,MER41B,ERV1,LTR
chr10,92648336,92648354,MA1600.1,-,1.28e-08,L2c,L2,LINE
chr9,98258278,98258296,MA1600.1,+,1.32e-08,MER57-int,ERV1,LTR
chr4,168483536,168483554,MA1600.1,+,1.59e-08,MER50,ERV1,LTR
chr1,17356819,17356837,MA1600.1,+,1.61e-08,L2a,L2,LINE
chr7,114854417,114854435,MA1600.1,+,1.72e-08,HAL1,L1,LINE
chrUn,11516659,11516677,MA1600.1,-,2e-08,LTR4,ERV1,LTR
chr12,27399983,27400001,MA1600.1,+,2.11e-08,L2a,L2,LINE
chr2b,63688247,63688265,MA1600.1,+,2.32e-08,MLT1G,ERVL-MaLR,LTR
chr17,26673472,26673490,MA1600.1,-,2.45e-08,L2a,L2,LINE
chr8,25888244,25888262,MA1600.1,+,2.62e-08,LTR25,ERV1,LTR
chr11,16854247,16854265,MA1600.1,-,2.69e-08,LTR5B,ERVK,LTR
chr12,58400102,58400120,MA1600.1,-,2.69e-08,LTR5_Hs,ERVK,LTR
chr10_random,17598335,17598353,MA1600.1,+,2.8e-08,(CATTC)n,Satellite,Satellite
chr3,134039498,134039516,MA1600.1,-,2.9e-08,L2,L2,LINE
chr2a_random,8063426,8063444,MA1600.1,+,2.99e-08,MER11A,ERVK,LTR
chrX,91819032,91819050,MA1600.1,+,2.99e-08,MER11C,ERVK,LTR
chr2a,106466381,106466399,MA1600.1,-,2.99e-08,MER11C,ERVK,LTR
chr10_random,24952300,24952318,MA1600.1,-,3.03e-08,L2a,L2,LINE
chr10,37972760,37972778,MA1600.1,+,3.03e-08,L2a,L2,LINE
chr10,10473139,10473157,MA1600.1,+,3.07e-08,L2a,L2,LINE
chr1_random,12422443,12422461,MA1600.1,-,3.07e-08,L2a,L2,LINE
chr10_random,23101886,23101904,MA1600.1,+,3.07e-08,(CATTC)n,Satellite,Satellite
chrX,35395225,35395243,MA1600.1,-,3.07e-08,L1MC3,L1,LINE
chr6,119037242,119037260,MA1600.1,-,3.07e-08,L2,L2,LINE
chrX,9513,9531,MA1600.1,-,3.19e-08,LTR5_Hs,ERVK,LTR
chr11,10925310,10925328,MA1600.1,+,3.19e-08,LTR5B,ERVK,LTR
chrUn,23488670,23488688,MA1600.1,+,3.19e-08,LTR5A,ERVK,LTR
chr13,25885027,25885045,MA1600.1,+,3.19e-08,LTR5B,ERVK,LTR
chr2b,60172127,60172145,MA1600.1,+,3.19e-08,MIRb,MIR,SINE
chrUn,70043602,70043620,MA1600.1,-,3.19e-08,LTR5A,ERVK,LTR
chr10,125591651,125591669,MA1600.1,-,3.19e-08,LTR5B,ERVK,LTR
chr9,125824634,125824652,MA1600.1,+,3.19e-08,LTR5B,ERVK,LTR
chr12,76093615,76093633,MA1600.1,-,3.25e-08,MLT1A1,ERVL-MaLR,LTR
chr1,111572959,111572977,MA1600.1,+,3.25e-08,L2a,L2,LINE
chr8,126826211,126826229,MA1600.1,-,3.29e-08,Charlie4z,hAT-Charlie,DNA
chr11,69285510,69285528,MA1600.1,+,3.33e-08,L2b,L2,LINE
chr13,90307715,90307733,MA1600.1,+,3.41e-08,MSTC,ERVL-MaLR,LTR
chr15,27561990,27562008,MA1600.1,+,3.5e-08,MLT1K,ERVL-MaLR,LTR
chr1,41397959,41397977,MA1600.1,-,3.5e-08,L1MCc,L1,LINE
chr6,103769282,103769300,MA1600.1,-,3.58e-08,MER11B,ERVK,LTR
chr4,160753489,160753507,MA1600.1,-,3.58e-08,MER11B,ERVK,LTR
chr16,6102843,6102861,MA1600.1,+,3.62e-08,MIR,MIR,SINE
chr7,124823763,124823781,MA1600.1,+,3.62e-08,MLT1A1,ERVL-MaLR,LTR
chr10_random,17324528,17324546,MA1600.1,+,3.66e-08,(CATTC)n,Satellite,Satellite
chrUn,54463982,54464000,MA1600.1,+,3.81e-08,(CATTC)n,Satellite,Satellite
chr11,23861485,23861503,MA1600.1,+,4.03e-08,MLT1M,ERVL-MaLR,LTR
chr10_random,15396738,15396756,MA1600.1,+,4.46e-08,(CATTC)n,Satellite,Satellite
chr5,2890700,2890718,MA1600.1,-,4.67e-08,MER50,ERV1,LTR
chr3_random,12259749,12259767,MA1600.1,+,4.67e-08,MER50,ERV1,LTR
chr10,125324804,125324822,MA1600.1,+,4.84e-08,LTR33,ERVL,LTR
chr1,10559975,10559993,MA1600.1,+,4.89e-08,LTR77,ERV1,LTR
chr6,26070430,26070448,MA1600.1,+,4.89e-08,MER102c,hAT-Charlie,DNA
chr11,37419177,37419195,MA1600.1,+,5.01e-08,L2b,L2,LINE
chr6,163450079,163450097,MA1600.1,-,5.58e-08,MLT1F2,ERVL-MaLR,LTR
chr20,47446728,47446746,MA1600.1,-,5.81e-08,MLT1K,ERVL-MaLR,LTR
chr1,213685303,213685321,MA1600.1,-,5.81e-08,LTR4,ERV1,LTR
chr1,213838690,213838708,MA1600.1,+,5.81e-08,LTR4,ERV1,LTR
chr1,213873624,213873642,MA1600.1,+,5.81e-08,LTR4,ERV1,LTR
chr11,81923832,81923850,MA1600.1,+,5.88e-08,MER58B,hAT-Charlie,DNA
chr4_random,22901954,22901972,MA1600.1,+,5.95e-08,MER51C,ERV1,LTR
chr4,169996509,169996527,MA1600.1,-,5.95e-08,L2a,L2,LINE
chr4,198301569,198301587,MA1600.1,+,5.95e-08,MER51C,ERV1,LTR
chr14,90811642,90811660,MA1600.1,+,6.01e-08,MER41B,ERV1,LTR
chr1,221366224,221366242,MA1600.1,+,6.01e-08,MER41B,ERV1,LTR
chr2b,32518747,32518765,MA1600.1,-,6.21e-08,LTR16D,ERVL,LTR
