chr	start	end	peak_id	score	strand	signal_value	p_value	q_value	length	peak_center	peak_strength	signal_category
chr1	499746	500284	macs3_results_dup/Oran_Guchi_peak_1	29	.	1.89087	2.97795	1.04021	473	499982.5	Weak	Low
chr1	529658	530496	macs3_results_dup/Oran_Guchi_peak_3	53	.	2.38802	5.35518	2.591	485	529900.5	Weak	Low
chr1	5837138	5838188	macs3_results_dup/Oran_Guchi_peak_32	45	.	2.3106	4.57449	1.99574	492	5837384	Weak	Low
chr1	5837138	5838188	macs3_results_dup/Oran_Guchi_peak_32	45	.	2.3106	4.57449	1.99574	492	5837384	Weak	Low
chr1	6024176	6024879	macs3_results_dup/Oran_Guchi_peak_36	45	.	2.3106	4.57449	1.99574	649	6024500.5	Weak	Low
chr1	6067883	6068300	macs3_results_dup/Oran_Guchi_peak_37	45	.	2.1744	4.54294	1.99574	838	6068302	Weak	Low
chr1	6090602	6091197	macs3_results_dup/Oran_Guchi_peak_39	44	.	2.26908	4.43434	1.97854	992	6091098	Weak	Low
chr1	6107993	6108950	macs3_results_dup/Oran_Guchi_peak_40	54	.	2.48834	5.44805	2.59525	543	6108264.5	Weak	Low
chr1	6164477	6165792	macs3_results_dup/Oran_Guchi_peak_42	207	.	3.85705	20.7437	16.8546	1564	6165259	Strong	Low
chr1	6169704	6170833	macs3_results_dup/Oran_Guchi_peak_43a	89	.	3.11043	8.94402	5.499	698	6170053	Weak	Low
chr1	6171315	6175273	macs3_results_dup/Oran_Guchi_peak_43a	89	.	3.11043	8.94402	5.499	698	6171664	Weak	Low
chr1	6175528	6176559	macs3_results_dup/Oran_Guchi_peak_43a	89	.	3.11043	8.94402	5.499	698	6175877	Weak	Low
chr1	6172756	6173783	macs3_results_dup/Oran_Guchi_peak_43a	89	.	3.11043	8.94402	5.499	698	6173105	Weak	Low
chr1	6177831	6179169	macs3_results_dup/Oran_Guchi_peak_43a	89	.	3.11043	8.94402	5.499	698	6178180	Weak	Low
chr1	6176515	6177515	macs3_results_dup/Oran_Guchi_peak_43a	89	.	3.11043	8.94402	5.499	698	6176864	Weak	Low
chr1	6169704	6170833	macs3_results_dup/Oran_Guchi_peak_43b	466	.	5.68049	46.6625	42.3713	3641	6171524.5	Strong	High
chr1	6171315	6175273	macs3_results_dup/Oran_Guchi_peak_43b	466	.	5.68049	46.6625	42.3713	3641	6173135.5	Strong	High
chr1	6175528	6176559	macs3_results_dup/Oran_Guchi_peak_43b	466	.	5.68049	46.6625	42.3713	3641	6177348.5	Strong	High
chr1	6172756	6173783	macs3_results_dup/Oran_Guchi_peak_43b	466	.	5.68049	46.6625	42.3713	3641	6174576.5	Strong	High
chr1	6177831	6179169	macs3_results_dup/Oran_Guchi_peak_43b	466	.	5.68049	46.6625	42.3713	3641	6179651.5	Strong	High
chr1	6176515	6177515	macs3_results_dup/Oran_Guchi_peak_43b	466	.	5.68049	46.6625	42.3713	3641	6178335.5	Strong	High
chr1	6169704	6170833	macs3_results_dup/Oran_Guchi_peak_43c	683	.	9.50902	68.3393	63.8652	6140	6172774	Strong	High
chr1	6171315	6175273	macs3_results_dup/Oran_Guchi_peak_43c	683	.	9.50902	68.3393	63.8652	6140	6174385	Strong	High
chr1	6175528	6176559	macs3_results_dup/Oran_Guchi_peak_43c	683	.	9.50902	68.3393	63.8652	6140	6178598	Strong	High
chr1	6172756	6173783	macs3_results_dup/Oran_Guchi_peak_43c	683	.	9.50902	68.3393	63.8652	6140	6175826	Strong	High
chr1	6177831	6179169	macs3_results_dup/Oran_Guchi_peak_43c	683	.	9.50902	68.3393	63.8652	6140	6180901	Strong	High
chr1	6176515	6177515	macs3_results_dup/Oran_Guchi_peak_43c	683	.	9.50902	68.3393	63.8652	6140	6179585	Strong	High
chr1	6169704	6170833	macs3_results_dup/Oran_Guchi_peak_43d	90	.	3.08926	9.06212	5.61372	10560	6174984	Weak	Low
chr1	6171315	6175273	macs3_results_dup/Oran_Guchi_peak_43d	90	.	3.08926	9.06212	5.61372	10560	6176595	Weak	Low
chr1	6175528	6176559	macs3_results_dup/Oran_Guchi_peak_43d	90	.	3.08926	9.06212	5.61372	10560	6180808	Weak	Low
chr1	6172756	6173783	macs3_results_dup/Oran_Guchi_peak_43d	90	.	3.08926	9.06212	5.61372	10560	6178036	Weak	Low
chr1	6177831	6179169	macs3_results_dup/Oran_Guchi_peak_43d	90	.	3.08926	9.06212	5.61372	10560	6183111	Weak	Low
chr1	6176515	6177515	macs3_results_dup/Oran_Guchi_peak_43d	90	.	3.08926	9.06212	5.61372	10560	6181795	Weak	Low
chr1	6181549	6183063	macs3_results_dup/Oran_Guchi_peak_44	62	.	2.6331	6.26056	3.24878	836	6181967	Weak	Low
chr1	6182708	6183063	macs3_results_dup/Oran_Guchi_peak_44	62	.	2.6331	6.26056	3.24878	836	6183126	Weak	Low
chr1	6865249	6866157	macs3_results_dup/Oran_Guchi_peak_52	22	.	1.7554	2.28341	0.66494	488	6865493	Weak	Low
chr1	6913155	6914155	macs3_results_dup/Oran_Guchi_peak_55	94	.	3.1993	9.49398	6.00504	950	6913630	Weak	Low
