"","geneName","teName","coef","teName.y"
"1","ZNF496","chr1|100333117|100333389|AluSx:Alu:SINE|107|-",-0.961748789145686,"AluSx"
"2","ZNF496","chr1|100338833|100338963|FRAM:Alu:SINE|169|-",-0.885266050422236,"FRAM"
"3","ZNF496","chr1|100338994|100339306|AluJb:Alu:SINE|135|+",-0.959236637567878,"AluJb"
"4","ZNF496","chr1|100610230|100610541|AluSq:Alu:SINE|90|+",-0.956713163422415,"AluSq"
"5","ZNF496","chr1|100875213|100875517|AluSx:Alu:SINE|109|-",-0.933457572783074,"AluSx"
"6","ZNF496","chr1|101114071|101114250|AluY:Alu:SINE|101|-",-0.968690929630484,"AluY"
"7","ZNF496","chr1|101471701|101471993|AluSx:Alu:SINE|118|-",-0.920038082061199,"AluSx"
"8","ZNF496","chr1|105926986|105927063|MIRc:MIR:SINE|227|+",-0.955671041904294,"MIRc"
"9","ZNF496","chr1|111048175|111048478|AluSc:Alu:SINE|86|-",-0.878966633540865,"AluSc"
"10","ZNF496","chr1|115109993|115110300|AluSc:Alu:SINE|88|-",-0.925106820298645,"AluSc"
"11","ZNF496","chr1|115333008|115333148|MIRc:MIR:SINE|296|+",-0.957190459021311,"MIRc"
"12","ZNF496","chr1|118858480|118858863|L2c:L2:LINE|369|+",-0.926472607458359,"L2c"
"13","ZNF496","chr1|119204327|119204638|AluY:Alu:SINE|48|+",-0.905109550712601,"AluY"
"14","ZNF496","chr1|128306243|128306548|AluSx:Alu:SINE|98|+",-0.892370321448162,"AluSx"
"15","ZNF496","chr1|135428892|135429199|AluSx:Alu:SINE|108|+",-0.898028191033779,"AluSx"
"16","ZNF496","chr1|135964407|135964701|AluJo:Alu:SINE|162|+",-0.890371190040588,"AluJo"
"17","ZNF496","chr1|136410905|136411861|L1MEc:L1:LINE|227|+",-0.959944125631628,"L1MEc"
"18","ZNF496","chr1|136426167|136426289|MIR:MIR:SINE|325|-",-0.8944914466157,"MIR"
"19","ZNF496","chr1|139585355|139585685|MER1B:MER1_type:DNA|181|+",0.887634113588339,"MER1B"
"20","ZNF496","chr1|139660189|139660385|L1PA15:L1:LINE|128|-",0.9307209555867,"L1PA15"
"21","ZNF496","chr1|143299548|143299847|AluJo:Alu:SINE|199|-",0.929412749413765,"AluJo"
"22","ZNF496","chr1|14434108|14434266|AluJo:Alu:SINE|191|+",-0.941219837271883,"AluJo"
"23","ZNF496","chr1|14458116|14458176|MIR:MIR:SINE|246|+",-0.893817293515715,"MIR"
"24","ZNF496","chr1|14458199|14458449|Tigger10:Tigger:DNA|200|+",-0.932341070595672,"Tigger10"
"25","ZNF496","chr1|151253496|151253806|AluSp:Alu:SINE|84|-",-0.919834454105425,"AluSp"
"26","ZNF496","chr1|154419253|154419597|THE1B:MaLR:LTR|130|-",-0.884681889761763,"THE1B"
"27","ZNF496","chr1|162000517|162000831|AluSx:Alu:SINE|129|-",-0.889364816023195,"AluSx"
"28","ZNF496","chr1|162001708|162002184|MER21A:ERV1:LTR|157|-",-0.90346082512051,"MER21A"
"29","ZNF496","chr1|162002184|162002490|AluSx:Alu:SINE|168|-",-0.890692011287398,"AluSx"
"30","ZNF496","chr1|162002895|162003195|AluSx:Alu:SINE|108|-",0.89371874541723,"AluSx"
"31","ZNF496","chr1|162004120|162004683|MER4A:ERV1:LTR|115|+",0.922226267492296,"MER4A"
"32","ZNF496","chr1|162004696|162004802|L2b:L2:LINE|377|-",0.882835965249908,"L2b"
"33","ZNF496","chr1|162006244|162006549|AluY:Alu:SINE|99|-",-0.895230958246261,"AluY"
"34","ZNF496","chr1|162084396|162085617|L2a:L2:LINE|320|+",-0.929173379672999,"L2a"
"35","ZNF496","chr1|162200765|162202332|MLT-int:MaLR:LTR|292|-",0.960195167702217,"MLT-int"
"36","ZNF496","chr1|162237820|162238004|MIRc:MIR:SINE|225|-",0.923005609885281,"MIRc"
"37","ZNF496","chr1|162481704|162481975|L2a:L2:LINE|336|+",-0.923285955022264,"L2a"
"38","ZNF496","chr1|1663193|1663292|L2a:L2:LINE|235|+",-0.96275282114248,"L2a"
"39","ZNF496","chr1|1663258|1663463|MIRb:MIR:SINE|269|-",-0.96140438058344,"MIRb"
"40","ZNF496","chr1|1698941|1699230|AluSx:Alu:SINE|185|+",-0.902537277547491,"AluSx"
"41","ZNF496","chr1|175613668|175613980|AluSx:Alu:SINE|125|-",-0.920244214277181,"AluSx"
"42","ZNF496","chr1|176815163|176815468|AluSg:Alu:SINE|71|+",-0.924793752984672,"AluSg"
"43","ZNF496","chr1|177282467|177282772|AluY:Alu:SINE|62|+",-0.955262971749154,"AluY"
"44","ZNF496","chr1|182422838|182423082|L1MC4a:L1:LINE|277|+",-0.936867353673903,"L1MC4a"
"45","ZNF496","chr1|182423082|182423393|AluSx:Alu:SINE|125|-",-0.889937709020232,"AluSx"
"46","ZNF496","chr1|184389252|184389398|AluSx:Alu:SINE|106|+",-0.921098612062908,"AluSx"
"47","ZNF496","chr1|185986086|185986175|MIR:MIR:SINE|259|-",-0.944032817922304,"MIR"
"48","ZNF496","chr1|1862057|1862346|L1MA7:L1:LINE|160|-",-0.893145154434082,"L1MA7"
"49","ZNF496","chr1|186467157|186467301|MIR3:MIR:SINE|340|-",-0.942890521585432,"MIR3"
"50","ZNF496","chr1|186533820|186534047|MIRb:MIR:SINE|183|+",-0.933986601930367,"MIRb"
"51","ZNF496","chr1|186769962|186770746|L2c:L2:LINE|342|-",-0.885039969321818,"L2c"
"52","ZNF496","chr1|187394133|187394609|L2c:L2:LINE|280|-",-0.886330849747635,"L2c"
"53","ZNF496","chr1|190026193|190027246|SVA_A:Other:Other|69|+",-0.902298285525156,"SVA_A"
"54","ZNF496","chr1|191135116|191135284|AluSp:Alu:SINE|102|-",-0.946318516485026,"AluSp"
"55","ZNF496","chr1|191135300|191135586|AluSc:Alu:SINE|91|-",-0.938407087789032,"AluSc"
"56","ZNF496","chr1|191276037|191276131|MIRc:MIR:SINE|351|-",-0.884008689479958,"MIRc"
"57","ZNF496","chr1|192210798|192211045|AluJo:Alu:SINE|196|+",-0.883291070139236,"AluJo"
"58","ZNF496","chr1|192363985|192364288|AluSx:Alu:SINE|96|-",-0.879647348426405,"AluSx"
"59","ZNF496","chr1|192365017|192365109|L2c:L2:LINE|264|+",-0.93019811761154,"L2c"
"60","ZNF496","chr1|194108456|194108746|AluJb:Alu:SINE|148|-",-0.893281355821612,"AluJb"
"61","ZNF496","chr1|194474134|194474434|AluSx:Alu:SINE|103|-",0.875636975949088,"AluSx"
"62","ZNF496","chr1|195049542|195049847|AluSg:Alu:SINE|82|+",-0.936043135882015,"AluSg"
"63","ZNF496","chr1|195056445|195056746|AluY:Alu:SINE|51|-",-0.933950417105186,"AluY"
"64","ZNF496","chr1|195117580|195117885|AluSq:Alu:SINE|106|-",-0.889305964380714,"AluSq"
"65","ZNF496","chr1|196705831|196706067|MIR:MIR:SINE|233|+",-0.946161483376065,"MIR"
"66","ZNF496","chr1|197194686|197194830|MIR:MIR:SINE|261|+",-0.900392248399769,"MIR"
"67","ZNF496","chr1|197538891|197539185|AluSg:Alu:SINE|109|-",-0.937225781945235,"AluSg"
"68","ZNF496","chr1|198007882|198008180|AluSp:Alu:SINE|84|-",-0.899441746564196,"AluSp"
"69","ZNF496","chr1|198031017|198031298|AluSx:Alu:SINE|123|-",-0.941109716770923,"AluSx"
"70","ZNF496","chr1|198225455|198225754|AluSx:Alu:SINE|94|-",-0.919797328750758,"AluSx"
"71","ZNF496","chr1|19975726|19975987|L2a:L2:LINE|308|-",-0.970613575137506,"L2a"
"72","ZNF496","chr1|201061329|201061631|AluJb:Alu:SINE|129|+",-0.924879276519937,"AluJb"
"73","ZNF496","chr1|201141672|201141970|AluSq:Alu:SINE|104|+",0.883756816006379,"AluSq"
"74","ZNF496","chr1|201972617|201972915|AluSq:Alu:SINE|117|-",-0.916503093248117,"AluSq"
"75","ZNF496","chr1|202674008|202674183|FAM:Alu:SINE|161|-",-0.925414229005563,"FAM"
"76","ZNF496","chr1|203426033|203426335|AluSx:Alu:SINE|100|-",-0.932032378334487,"AluSx"
"77","ZNF496","chr1|203426342|203426447|MIR:MIR:SINE|215|-",-0.929235345290899,"MIR"
"78","ZNF496","chr1|203497134|203497448|AluSp:Alu:SINE|122|+",-0.937233207760436,"AluSp"
"79","ZNF496","chr1|203811071|203811351|AluSx:Alu:SINE|148|-",-0.939347557672244,"AluSx"
