Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
THTPA	THTPA	chr14_random	+	3111	6636	1.518970	4.702246	4.988071
SH3BP5L	SH3BP5L	chr1	+	146853	162199	6.485851	20.078125	21.298573
SCCPDH	SCCPDH	chr1	-	2272847	2323648	18.473202	57.187134	60.663250
EFCAB2	EFCAB2	chr1	-	4006051	4169588	0.166594	0.515722	0.547070
DESI2	DESI2	chr1	-	4437582	4464837	5.105487	15.804955	16.765659
KMO	KMO	chr1	-	7666500	7724781	0.0	0.0	0.0
FH	FH	chr1	+	7737387	7759529	24.844048	76.909233	81.584152
CHRM3	CHRM3	chr1	-	9420433	9958472	0.0	0.0	0.0
MTR	MTR	chr1	-	12520775	12733758	0.600680	1.859513	1.972544
GNG4	GNG4	chr1	+	13894475	14002652	0.0	0.0	0.0
TBCE	TBCE	chr1	-	14100763	14195013	25.976471	80.414856	85.302856
TOMM20	TOMM20	chr1	+	14439291	14458406	15.529307	48.073772	50.995930
KCNK1	KCNK1	chr1	-	15992358	16060779	1.680314	5.201715	5.517901
TSNAX	TSNAX	chr1	-	18164320	18206627	2.138875	6.621274	7.023747
ACTA1	ACTA1	chr1	+	20230379	20233214	0.0	0.0	0.0
PSEN2	PSEN2	chr1	-	22736604	22756600	3.732202	11.553704	12.255996
SDE2	SDE2	chr1	+	23672360	23689210	1.423108	4.405488	4.673275
PYCR2	PYCR2	chr1	+	23744481	23748875	18.245651	56.482704	59.916004
TMEM63A	TMEM63A	chr1	+	23785816	23822232	1.511493	4.679099	4.963518
EPHX1	EPHX1	chr1	-	23825134	23881142	0.0	0.0	0.0
LBR	LBR	chr1	+	24282308	24308755	5.945082	18.404076	19.522764
CNIH4	CNIH4	chr1	-	25362092	25381733	128.319473	397.236084	421.382019
DEGS1	DEGS1	chr1	-	25560792	25573098	5.834370	18.061346	19.159203
SUSD4	SUSD4	chr1	+	26205554	26353010	0.0	0.0	0.0
BROX	BROX	chr1	-	26873781	26896852	1.976983	6.120107	6.492117
AIDA	AIDA	chr1	+	26896989	26951503	14.110675	43.682140	46.337353
LYPLAL1	LYPLAL1	chr1	-	30537346	30576082	10.752416	33.483852	35.519169
ESRRG	ESRRG	chr1	+	32734645	33346188	0.0	0.0	0.0
DKFZP459I087	DKFZP459I087	chr1	+	36921956	36946735	0.000000	0.000000	0.000000
ANGEL2	ANGEL2	chr1	+	36922243	36946733	2.347216	7.266230	7.707908
PACC1	PACC1	chr1	+	37560020	37611573	1.370792	4.243534	4.501477
IRF6	IRF6	chr1	+	40300349	40321118	0.0	0.0	0.0
C1H1orf74	C1H1orf74	chr1	+	40322279	40324525	0.832041	2.575733	2.732299
CD46	CD46	chr1	-	42334489	42384080	1.057013	3.272175	3.471073
PFKFB2	PFKFB2	chr1	-	43067144	43091294	0.668386	2.069109	2.194880
FCAMR	FCAMR	chr1	+	43175139	43188636	0.210983	0.672072	0.712924
PIGR	PIGR	chr1	+	43200534	43218714	0.0	0.0	0.0
EIF2D	EIF2D	chr1	+	43572491	43597913	28.383844	87.867310	93.208313
SLC41A1	SLC41A1	chr1	+	44376513	44401283	2.096874	6.491252	6.885822
RAB29	RAB29	chr1	+	44415008	44422071	7.639203	23.648531	25.086004
MFSD4A	MFSD4A	chr1	-	44599100	44628518	0.0	0.0	0.0
CDK18	CDK18	chr1	-	44664379	44684997	0.554579	1.716799	1.821155
NUAK2	NUAK2	chr1	+	44872765	44892430	1.594907	4.937323	5.237437
TMCC2	TMCC2	chr1	-	44921491	44970663	0.353720	1.095004	1.161564
RBBP5	RBBP5	chr1	+	45088204	45123579	1.763384	5.458873	5.790690
CNTN2	CNTN2	chr1	-	45136146	45158413	0.0	0.0	0.0
PPP1R15B	PPP1R15B	chr1	+	45811333	45816889	3.789474	11.731001	12.444068
ZC3H11A	ZC3H11A	chr1	-	46357440	46415465	9.279625	28.726755	30.472906
CHI3L1	CHI3L1	chr1	+	47068558	47076304	0.000000	0.000000	0.000000
ADORA1	ADORA1	chr1	-	47087756	47131282	0.509372	1.576853	1.672702
ELF3	ELF3	chr1	-	48284638	48290428	0.0	0.0	0.0
CSRP1	CSRP1	chr1	+	48824501	48852552	76.093559	235.561356	249.879913
LAD1	LAD1	chr1	+	48925251	48931045	0.0	0.0	0.0
B3GALT2	B3GALT2	chr1	+	57137703	57145263	0.0	0.0	0.0
GLRX2	GLRX2	chr1	+	57217255	57231015	31.016344	96.016685	101.853050
UCHL5	UCHL5	chr1	+	57274685	57321207	11.067250	34.260674	36.343204
PLA2G4A	PLA2G4A	chr1	-	63550554	63717605	0.0	0.0	0.0
C1orf27P	C1orf27P	chr1	-	64131067	64176917	0.805380	2.493199	2.644748
TRMT1L	TRMT1L	chr1	+	65432351	65475752	3.887404	12.034161	12.765656
RNF2	RNF2	chr1	-	65492188	65550781	8.566875	26.520309	28.132341
COLGALT2	COLGALT2	chr1	+	66588659	66692978	1.482534	4.589451	4.868421
RGL1	RGL1	chr1	-	66701575	67006465	2.283614	7.069339	7.499048
ARPC5	ARPC5	chr1	+	67006742	67016474	257.515472	797.185608	845.642456
NCF2	NCF2	chr1	+	67063943	67101488	11.997179	37.139431	39.396950
NMNAT2	NMNAT2	chr1	+	67242906	67424261	0.0	0.0	0.0
NPL	NPL	chr1	-	67865330	67907037	3.588650	11.109314	11.784592
RNASEL	RNASEL	chr1	+	68119504	68139963	0.590737	1.828733	1.939892
MR1	MR1	chr1	-	69764182	69785302	0.412258	1.276219	1.353794
STX6	STX6	chr1	+	69802927	69854183	4.831283	14.956109	15.865213
