CHROM,START,END,MOTIF,STRAND,PVALUE,TE,family_id,class_id
chr6_cox_hap2,31306,31317,MA1979.1,+,2.05e-07,AluSg4,Alu,SINE
chr11,738513,738524,MA1979.1,-,2.05e-07,AluSx,Alu,SINE
chr16,992356,992367,MA1979.1,-,2.05e-07,L1MEf,L1,LINE
chrY,1342362,1342373,MA1979.1,-,2.05e-07,AluSx,Alu,SINE
chrX,1392362,1392373,MA1979.1,-,2.05e-07,AluSx,Alu,SINE
chr18,2109105,2109116,MA1979.1,+,2.05e-07,AluSg4,Alu,SINE
chrY,2113108,2113119,MA1979.1,+,2.05e-07,MER4A1,ERV1,LTR
chrX,2163108,2163119,MA1979.1,+,2.05e-07,MER4A1,ERV1,LTR
chr8,3475678,3475689,MA1979.1,-,2.05e-07,AluJb,Alu,SINE
chr16,3476647,3476658,MA1979.1,-,2.05e-07,L1M3de,L1,LINE
chr1,3589997,3590008,MA1979.1,-,2.05e-07,MIRb,MIR,SINE
chr20,4405844,4405855,MA1979.1,+,2.05e-07,MER117,hAT-Charlie,DNA
chr20,4822875,4822886,MA1979.1,-,2.05e-07,L1MB3,L1,LINE
chr4,4889373,4889384,MA1979.1,-,2.05e-07,HAL1,L1,LINE
chr19,5325354,5325365,MA1979.1,-,2.05e-07,MLT1J,ERVL-MaLR,LTR
chrX,6030236,6030247,MA1979.1,+,2.05e-07,L1PA17,L1,LINE
chrY,6771058,6771069,MA1979.1,-,2.05e-07,AluSx,Alu,SINE
chr6,6973429,6973440,MA1979.1,+,2.05e-07,AluJo,Alu,SINE
chr8,7287297,7287308,MA1979.1,-,2.05e-07,AluSg7,Alu,SINE
chr1,7376832,7376843,MA1979.1,-,2.05e-07,L2c,L2,LINE
chr8,7739287,7739298,MA1979.1,+,2.05e-07,AluSg7,Alu,SINE
chr17,9994084,9994095,MA1979.1,-,2.05e-07,MIRc,MIR,SINE
chr20,12726156,12726167,MA1979.1,+,2.05e-07,L1M5,L1,LINE
chr6,14132521,14132532,MA1979.1,+,2.05e-07,L2a,L2,LINE
chr6,15068066,15068077,MA1979.1,-,2.05e-07,AluY,Alu,SINE
