chr_name	ensembl_id	gene_symbol	gene_start	gene_end	gene_strand	te_name	te_start	te_end	te_strand	strand_relation
chr1	ENSPTRG00000000784	USP24	55558960	55707345	-	L2a	55697225	55697313	+	Antisense
chr1	ENSPTRG00000000799	HOOK1	60362298	60423785	+	L2b	60414730	60414839	+	Sense
chr1	ENSPTRG00000000837	MIER1	67544039	67608275	+	AluSg	67603373	67603665	-	Antisense
chr1	ENSPTRG00000000837	MIER1	67544039	67608275	+	MIR	67603910	67604100	-	Antisense
chr1	ENSPTRG00000000892	IFI44L	79305542	79331717	+	L1MA4A	79306930	79307209	-	Antisense
chr1	ENSPTRG00000000892	IFI44L	79305542	79331717	+	L1MA4A	79307225	79307403	-	Antisense
chr1	ENSPTRG00000000899	PRKACB	84867405	84962665	+	MADE1	84907562	84907608	-	Antisense
chr1	ENSPTRG00000000899	PRKACB	84867405	84962665	+	L1MB8	84881371	84886828	-	Antisense
chr1	ENSPTRG00000000960	RPAP2	93069303	93158746	+	L1ME4a	93105890	93106459	-	Antisense
chr1	ENSPTRG00000000960	RPAP2	93069303	93158746	+	MIR	93106983	93107029	-	Antisense
chr1	ENSPTRG00000000960	RPAP2	93069303	93134529	+	L1ME4a	93105890	93106459	-	Antisense
chr1	ENSPTRG00000000960	RPAP2	93069303	93134529	+	MIR	93106983	93107029	-	Antisense
chr1	ENSPTRG00000000962	EVI5	93284344	93563118	-	MIRc	93308159	93308225	-	Sense
chr1	ENSPTRG00000000962	EVI5	93284344	93563118	-	L1PA11	93358481	93358592	-	Sense
chr1	ENSPTRG00000000962	EVI5	93284344	93563118	-	L1MC3	93358592	93358672	-	Sense
chr1	ENSPTRG00000000970	FNBP1L	94221484	94329479	+	MIR3	94298958	94299058	+	Sense
chr1	ENSPTRG00000000970	FNBP1L	94221484	94329479	+	MER58B	94297899	94298211	+	Sense
chr1	ENSPTRG00000001011	SLC30A7	101728949	101808340	+	AluSx1	101754576	101754889	-	Antisense
chr1	ENSPTRG00000001011	SLC30A7	101728949	101808340	+	MLT1C	101735133	101735574	-	Antisense
chr1	ENSPTRG00000001011	SLC30A7	101728949	101808340	+	L4_C_Mam	101735856	101736180	-	Antisense
chr1	ENSPTRG00000001143	SYCP1	121761246	121904030	-	AluJr	121832284	121832387	-	Sense
chr1	ENSPTRG00000001143	SYCP1	121761246	121904030	-	L1MA7	121832422	121832537	+	Antisense
chr1	ENSPTRG00000001213	GPR89A	112666555	112729342	+	AluSx	112702405	112702717	-	Antisense
chr1	ENSPTRG00000001213	GPR89A	112666555	112729342	+	MIRc	112702772	112702953	-	Antisense
chr1	ENSPTRG00000001213	GPR89A	112666555	112729342	+	L1MB7	112680768	112681710	+	Sense
chr1	ENSPTRG00000001711	COP1	154450650	154722557	-	L1M4	154505125	154506141	-	Sense
chr1	ENSPTRG00000001711	COP1	154450650	154722557	-	L1MB8	154504955	154505094	-	Sense
chr1	ENSPTRG00000001711	COP1	154450650	154722557	-	MIR	154594510	154594634	-	Sense
chr1	ENSPTRG00000001711	COP1	154450650	154722557	-	L1PA16	154589593	154593217	+	Antisense
chr1	ENSPTRG00000001711	COP1	154450650	154722557	-	L1MC5a	154593311	154593416	+	Antisense
chr1	ENSPTRG00000001711	COP1	154450650	154722557	-	FLAM_A	154593456	154593578	+	Antisense
chr1	ENSPTRG00000001711	COP1	154450650	154722557	-	L1M5	154593578	154593688	+	Antisense
chr1	ENSPTRG00000001711	COP1	154450650	154722557	-	L1MC5a	154593767	154594510	+	Antisense
chr1	ENSPTRG00000001711	COP1	154450650	154722557	-	L1M5	154464525	154465432	+	Antisense
