chr	start	end	peak_id	score	strand	signal_value	p_value	q_value	length	peak_center	peak_strength	signal_category
chr1	567387	569883	macs3_results/GM18558_peak_2a	96	.	2.59668	9.61212	5.95453	455	567614.5	Weak	Low
chr1	567387	569883	macs3_results/GM18558_peak_2a	96	.	2.59668	9.61212	5.95453	455	567614.5	Weak	Low
chr1	567387	569883	macs3_results/GM18558_peak_2b	386	.	4.92722	38.613	34.3745	1838	568306	Strong	Low
chr1	567387	569883	macs3_results/GM18558_peak_2b	386	.	4.92722	38.613	34.3745	1838	568306	Strong	Low
chr1	23616608	23617908	macs3_results/GM18558_peak_26	32	.	1.76061	3.22046	0.875081	623	23616919.5	Weak	Low
chr1	23616608	23617908	macs3_results/GM18558_peak_26	32	.	1.76061	3.22046	0.875081	623	23616919.5	Weak	Low
chr1	25156009	25157008	macs3_results/GM18558_peak_31	43	.	1.84329	4.37228	1.58335	519	25156268.5	Weak	Low
chr1	51570257	51571265	macs3_results/GM18558_peak_56	46	.	1.97763	4.60257	1.7399	522	51570518	Weak	Low
chr1	52938489	52939521	macs3_results/GM18558_peak_68	42	.	1.94122	4.28158	1.51009	578	52938778	Weak	Low
chr1	52951524	52951653	macs3_results/GM18558_peak_69	64	.	2.19836	6.47921	3.17852	688	52951868	Weak	Low
chr1	58965239	58965564	macs3_results/GM18558_peak_76	44	.	1.92061	4.4063	1.61513	585	58965531.5	Weak	Low
chr1	63118178	63118966	macs3_results/GM18558_peak_89	49	.	1.97035	4.94771	1.99281	838	63118597	Weak	Low
chr1	63919595	63920680	macs3_results/GM18558_peak_91	74	.	2.32884	7.43712	4.02976	777	63919983.5	Weak	Low
chr1	63919595	63920680	macs3_results/GM18558_peak_91	74	.	2.32884	7.43712	4.02976	777	63919983.5	Weak	Low
chr1	65405632	65406465	macs3_results/GM18558_peak_93	28	.	1.68631	2.83289	0.671462	779	65406021.5	Weak	Low
chr1	67192396	67193580	macs3_results/GM18558_peak_101	63	.	2.16968	6.31291	3.05738	464	67192628	Weak	Low
chr1	67285327	67286327	macs3_results/GM18558_peak_103	39	.	1.86839	3.97072	1.29064	526	67285590	Weak	Low
chr1	67511409	67511927	macs3_results/GM18558_peak_106	21	.	1.53804	2.13899	0.342546	483	67511650.5	Weak	Low
chr1	67511409	67512023	macs3_results/GM18558_peak_106	21	.	1.53804	2.13899	0.342546	483	67511650.5	Weak	Low
chr1	67605343	67606157	macs3_results/GM18558_peak_107	59	.	2.158	5.97459	2.77734	486	67605586	Weak	Low
chr1	70555905	70556090	macs3_results/GM18558_peak_119	36	.	1.83197	3.6702	1.13964	502	70556156	Weak	Low
chr1	70555905	70556989	macs3_results/GM18558_peak_119	36	.	1.83197	3.6702	1.13964	502	70556156	Weak	Low
chr1	70555905	70556989	macs3_results/GM18558_peak_119	36	.	1.83197	3.6702	1.13964	502	70556156	Weak	Low
chr1	74605980	74606919	macs3_results/GM18558_peak_136	63	.	2.23253	6.35253	3.05738	741	74606350.5	Weak	Low
chr1	82829129	82829553	macs3_results/GM18558_peak_178	36	.	1.83197	3.6702	1.13964	776	82829517	Weak	Low
chr1	83536641	83537733	macs3_results/GM18558_peak_182	75	.	2.37819	7.51187	4.05334	567	83536924.5	Weak	Low
chr1	84044552	84044955	macs3_results/GM18558_peak_187	33	.	1.7553	3.30867	0.947561	472	84044788	Weak	Low
chr1	88032118	88033333	macs3_results/GM18558_peak_231a	88	.	2.30105	8.83323	5.23756	914	88032575	Weak	Low
chr1	88032118	88033333	macs3_results/GM18558_peak_231b	51	.	1.98377	5.1237	2.1499	3299	88033767.5	Weak	Low
chr1	89058991	89059680	macs3_results/GM18558_peak_262	33	.	1.79414	3.37377	0.953179	931	89059456.5	Weak	Low
chr1	90486168	90487177	macs3_results/GM18558_peak_272	40	.	1.90343	4.09605	1.3975	495	90486415.5	Weak	Low
chr1	90903897	90904931	macs3_results/GM18558_peak_273	23	.	1.57707	2.3305	0.381085	697	90904245.5	Weak	Low
chr1	94940565	94941619	macs3_results/GM18558_peak_296	49	.	2.01405	4.93349	1.98244	1020	94941075	Weak	Low
chr1	100944687	100945041	macs3_results/GM18558_peak_328	24	.	1.53695	2.40431	0.442748	493	100944933.5	Weak	Low
chr1	101333436	101333451	macs3_results/GM18558_peak_330	39	.	1.82458	3.9045	1.29064	442	101333657	Weak	Low
chr1	101439634	101440274	macs3_results/GM18558_peak_335	49	.	2.01405	4.93349	1.98244	1129	101440198.5	Weak	Low
chr1	102489082	102490230	macs3_results/GM18558_peak_344a	114	.	2.77875	11.4332	7.6476	1945	102490054.5	Strong	Low
chr1	102489082	102490230	macs3_results/GM18558_peak_344b	91	.	2.56027	9.17597	5.54931	3675	102490919.5	Weak	Low
chr1	104872811	104873811	macs3_results/GM18558_peak_357	79	.	2.41461	7.91553	4.41637	853	104873237.5	Weak	Low
chr1	104895963	104897084	macs3_results/GM18558_peak_361a	75	.	2.37819	7.51187	4.05334	1453	104896689.5	Weak	Low
chr1	104895963	104897084	macs3_results/GM18558_peak_361b	96	.	2.59668	9.61212	5.95453	3901	104897913.5	Weak	Low
chr1	104895963	104897084	macs3_results/GM18558_peak_361c	134	.	2.92821	13.4335	9.53577	5010	104898468	Strong	Low
chr1	104895963	104897084	macs3_results/GM18558_peak_361d	91	.	2.56027	9.17597	5.54931	6344	104899135	Weak	Low
chr1	104943388	104944089	macs3_results/GM18558_peak_367	41	.	1.85641	4.19565	1.48081	1177	104943976.5	Weak	Low
chr1	104975164	104977148	macs3_results/GM18558_peak_371a	79	.	2.41461	7.91553	4.41637	872	104975600	Weak	Low
chr1	104975164	104977148	macs3_results/GM18558_peak_371b	170	.	3.32497	17.0207	13.0073	2269	104976298.5	Strong	Low
chr1	109896189	109897229	macs3_results/GM18558_peak_403a	36	.	1.83197	3.6702	1.13964	657	109896517.5	Weak	Low
chr1	109896189	109897229	macs3_results/GM18558_peak_403b	63	.	2.19612	6.35253	3.05738	1806	109897092	Weak	Low
chr1	109896189	109897229	macs3_results/GM18558_peak_403c	59	.	2.05724	5.95961	2.77734	4297	109898337.5	Weak	Low
chr1	109907399	109908104	macs3_results/GM18558_peak_405	70	.	2.26445	7.06331	3.70075	1661	109908229.5	Weak	Low
chr1	109921598	109922470	macs3_results/GM18558_peak_408	67	.	2.26895	6.73021	3.38691	1640	109922418	Weak	Low
chr1	113743597	113744671	macs3_results/GM18558_peak_440	75	.	2.34178	7.51187	4.05334	517	113743855.5	Weak	Low
chr1	113950768	113951904	macs3_results/GM18558_peak_451a	119	.	2.81517	11.907	8.08359	874	113951205	Strong	Low
chr1	113950768	113951904	macs3_results/GM18558_peak_451b	114	.	2.77875	11.4332	7.6476	3815	113952675.5	Strong	Low
