"ENSG","geneName","description"
"ENSG00000229344","MTCO2P12","MT-CO2 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52028]"
"ENSG00000240409","MTATP8P1","MT-ATP8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44571]"
"ENSG00000248527","MTATP6P1","MT-ATP6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44575]"
"ENSG00000198744","MTCO3P12","MT-CO3 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52042]"
"ENSG00000142856","ITGB3BP","integrin subunit beta 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6157]"
"ENSG00000162664","ZNF326","zinc finger protein 326 [Source:HGNC Symbol;Acc:HGNC:14104]"
"ENSG00000117528","ABCD3","ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]"
"ENSG00000162695","SLC30A7","solute carrier family 30 member 7 [Source:HGNC Symbol;Acc:HGNC:19306]"
"ENSG00000134243","SORT1","sortilin 1 [Source:HGNC Symbol;Acc:HGNC:11186]"
"ENSG00000143401","ANP32E","acidic nuclear phosphoprotein 32 family member E [Source:HGNC Symbol;Acc:HGNC:16673]"
"ENSG00000196139","AKR1C3","aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]"
"ENSG00000171862","PTEN","phosphatase and tensin homolog [Source:HGNC Symbol;Acc:HGNC:9588]"
"ENSG00000077458","FAM76B","family with sequence similarity 76 member B [Source:HGNC Symbol;Acc:HGNC:28492]"
"ENSG00000196954","CASP4","caspase 4 [Source:HGNC Symbol;Acc:HGNC:1505]"
"ENSG00000154114","TBCEL","tubulin folding cofactor E like [Source:HGNC Symbol;Acc:HGNC:28115]"
"ENSG00000052126","PLEKHA5","pleckstrin homology domain containing A5 [Source:HGNC Symbol;Acc:HGNC:30036]"
"ENSG00000139173","TMEM117","transmembrane protein 117 [Source:HGNC Symbol;Acc:HGNC:25308]"
"ENSG00000092108","SCFD1","sec1 family domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20726]"
"ENSG00000259045","MTCO1P2","MT-CO1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:19932]"
"ENSG00000087301","TXNDC16","thioredoxin domain containing 16 [Source:HGNC Symbol;Acc:HGNC:19965]"
"ENSG00000126777","KTN1","kinectin 1 [Source:HGNC Symbol;Acc:HGNC:6467]"
"ENSG00000233444","None","mitochondrially encoded cytochrome c oxidase II (MT-CO2) pseudogene"
"ENSG00000115423","DNAH6","dynein axonemal heavy chain 6 [Source:HGNC Symbol;Acc:HGNC:2951]"
"ENSG00000144306","SCRN3","secernin 3 [Source:HGNC Symbol;Acc:HGNC:30382]"
"ENSG00000144320","LNPK","lunapark, ER junction formation factor [Source:HGNC Symbol;Acc:HGNC:21610]"
"ENSG00000225166","None","novel transcript"
"ENSG00000228930","MTCO1P3","MT-CO1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:39604]"
"ENSG00000242247","ARFGAP3","ADP ribosylation factor GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:661]"
"ENSG00000114405","CEP15","centrosomal protein 15 [Source:HGNC Symbol;Acc:HGNC:25024]"
"ENSG00000206199","ANKUB1","ankyrin repeat and ubiquitin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29642]"
"ENSG00000237787","LINC02877","long intergenic non-protein coding RNA 2877 [Source:HGNC Symbol;Acc:HGNC:37259]"
"ENSG00000174899","SLC66A1L","solute carrier family 66 member 1 like [Source:HGNC Symbol;Acc:HGNC:25146]"
"ENSG00000174891","RSRC1","arginine and serine rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:24152]"
"ENSG00000114346","ECT2","epithelial cell transforming 2 [Source:HGNC Symbol;Acc:HGNC:3155]"
"ENSG00000178177","LCORL","ligand dependent nuclear receptor corepressor like [Source:HGNC Symbol;Acc:HGNC:30776]"
"ENSG00000163629","PTPN13","protein tyrosine phosphatase non-receptor type 13 [Source:HGNC Symbol;Acc:HGNC:9646]"
"ENSG00000164144","ARFIP1","ADP ribosylation factor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21496]"
"ENSG00000130449","ZSWIM6","zinc finger SWIM-type containing 6 [Source:HGNC Symbol;Acc:HGNC:29316]"
"ENSG00000254132","MTND6P3","MT-ND6 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:39466]"
"ENSG00000251340","MTCYBP35","MT-CYB pseudogene 35 [Source:HGNC Symbol;Acc:HGNC:52303]"
"ENSG00000270232","MTCYBP22","MT-CYB pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:51979]"
"ENSG00000270230","MTND6P22","MT-ND6 pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:51978]"
"ENSG00000271687","MTND5P10","MT-ND5 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:42272]"
"ENSG00000270906","MTND4P35","MT-ND4 pseudogene 35 [Source:HGNC Symbol;Acc:HGNC:51949]"
"ENSG00000270350","MTND4LP5","MT-ND4L pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:42239]"
"ENSG00000271480","MTND3P19","MT-ND3 pseudogene 19 [Source:HGNC Symbol;Acc:HGNC:52081]"
"ENSG00000270388","MTCO3P22","MT-CO3 pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:52125]"
"ENSG00000270307","MTATP6P2","MT-ATP6 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:44576]"
"ENSG00000270225","MTCO2P22","MT-CO2 pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:52151]"
"ENSG00000271207","MTCO1P22","MT-CO1 pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:52087]"
"ENSG00000172869","DMXL1","Dmx like 1 [Source:HGNC Symbol;Acc:HGNC:2937]"
"ENSG00000249950","None","ribosomal protein S3a pseudogene"
"ENSG00000244921","MTCYBP18","MT-CYB pseudogene 18 [Source:HGNC Symbol;Acc:HGNC:51976]"
"ENSG00000249119","MTND6P4","MT-ND6 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:39467]"
"ENSG00000248923","MTND5P11","MT-ND5 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:42273]"
"ENSG00000247627","MTND4P12","MT-ND4 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:42199]"
"ENSG00000198868","MTND4LP30","MT-ND4L pseudogene 30 [Source:HGNC Symbol;Acc:HGNC:42264]"
"ENSG00000263963","None",""
"ENSG00000249192","MTND3P25","MT-ND3 pseudogene 25 [Source:HGNC Symbol;Acc:HGNC:52172]"
"ENSG00000072571","HMMR","hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]"
"ENSG00000187987","ZSCAN23","zinc finger and SCAN domain containing 23 [Source:HGNC Symbol;Acc:HGNC:21193]"
"ENSG00000168216","LMBRD1","LMBR1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23038]"
"ENSG00000234155","LINC02535","long intergenic non-protein coding RNA 2535 [Source:HGNC Symbol;Acc:HGNC:53569]"
"ENSG00000152818","UTRN","utrophin [Source:HGNC Symbol;Acc:HGNC:12635]"
"ENSG00000237921","None","novel transcript"
"ENSG00000179428","IL6-AS1","IL6 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40301]"
"ENSG00000136244","IL6","interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]"
"ENSG00000226285","NUP35P2","nucleoporin 35 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:52371]"
"ENSG00000135218","CD36","CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]"
"ENSG00000019991","HGF","hepatocyte growth factor [Source:HGNC Symbol;Acc:HGNC:4893]"
"ENSG00000004766","VPS50","VPS50 subunit of EARP/GARPII complex [Source:HGNC Symbol;Acc:HGNC:25956]"
"ENSG00000105829","BET1","Bet1 golgi vesicular membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:14562]"
"ENSG00000241921","None","novel transcript"
"ENSG00000078674","PCM1","pericentriolar material 1 [Source:HGNC Symbol;Acc:HGNC:8727]"
"ENSG00000230916","MTCO1P53","MT-CO1 pseudogene 53 [Source:HGNC Symbol;Acc:HGNC:52118]"
"ENSG00000231501","MTND4LP1","MT-ND4L pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31347]"
"ENSG00000232177","MTND4P24","MT-ND4 pseudogene 24 [Source:HGNC Symbol;Acc:HGNC:42220]"
