CHROM,START,END,MOTIF,STRAND,PVALUE,TE,family_id,class_id
chr2B,138070999,138071019,MA1973.1,+,1.75e-11,MLT1H,ERVL-MaLR,LTR
chr10,121771381,121771401,MA1973.1,-,4.55e-11,MLT1H,ERVL-MaLR,LTR
chr20,35667068,35667088,MA1973.1,+,5.9e-10,MLT1G3,ERVL-MaLR,LTR
chr20,35667230,35667250,MA1973.1,+,5.9e-10,MLT1G3,ERVL-MaLR,LTR
chrX,108708063,108708083,MA1973.1,+,2.04e-09,MLT1H,ERVL-MaLR,LTR
chr2A,86410033,86410053,MA1973.1,-,2.79e-09,MIRb,MIR,SINE
chr16,31444811,31444831,MA1973.1,-,3.01e-09,MLT1H,ERVL-MaLR,LTR
chr20,13083834,13083854,MA1973.1,-,3.05e-09,MLT1H,ERVL-MaLR,LTR
chr13,112030863,112030883,MA1973.1,-,3.1e-09,L1M3e,L1,LINE
chr5,116127038,116127058,MA1973.1,-,4.41e-09,MLT1H,ERVL-MaLR,LTR
chr4,36418638,36418658,MA1973.1,-,5.02e-09,MLT1H,ERVL-MaLR,LTR
chr10,76461913,76461933,MA1973.1,+,5.09e-09,MIR3,MIR,SINE
chr6,92763794,92763814,MA1973.1,+,5.47e-09,Tigger3b,TcMar-Tigger,DNA
chr3,15057642,15057662,MA1973.1,-,5.61e-09,MLT1E2,ERVL-MaLR,LTR
chr3,72920536,72920556,MA1973.1,+,6.02e-09,MLT1I,ERVL-MaLR,LTR
chr4,90275882,90275902,MA1973.1,-,7.3e-09,L3,CR1,LINE
chr17,68632957,68632977,MA1973.1,+,8.03e-09,MLT1H,ERVL-MaLR,LTR
chr16,26282607,26282627,MA1973.1,-,8.13e-09,MLT1J1,ERVL-MaLR,LTR
chr7,92199273,92199293,MA1973.1,+,8.47e-09,L2b,L2,LINE
chr15,67227420,67227440,MA1973.1,+,8.93e-09,HERVL40-int,ERVL,LTR
chr20,49905770,49905790,MA1973.1,+,1.1e-08,MLT1N2,ERVL-MaLR,LTR
chr16,53641856,53641876,MA1973.1,-,1.15e-08,MLT1H,ERVL-MaLR,LTR
chr11,70109359,70109379,MA1973.1,+,1.15e-08,L1M3e,L1,LINE
chr21,27185990,27186010,MA1973.1,+,1.16e-08,L1MEf,L1,LINE
chr9,455354,455374,MA1973.1,-,1.25e-08,AluSx1,Alu,SINE
chrX,153483616,153483636,MA1973.1,-,1.28e-08,L1M5,L1,LINE
chr6,118158612,118158632,MA1973.1,+,1.32e-08,ERVL-E-int,ERVL,LTR
chr19,18248646,18248666,MA1973.1,-,1.42e-08,AluSx,Alu,SINE
chr10,2191322,2191342,MA1973.1,+,1.46e-08,MLT1H,ERVL-MaLR,LTR
chr19,2138600,2138620,MA1973.1,-,1.48e-08,MER20,hAT-Charlie,DNA
chr5,135748972,135748992,MA1973.1,+,1.51e-08,MIR3,MIR,SINE
chr11,76898290,76898310,MA1973.1,+,1.67e-08,MLT1H2,ERVL-MaLR,LTR
chr5,114092244,114092264,MA1973.1,-,1.71e-08,HERV9-int,ERV1,LTR
chrUn_AACZ03192634,926,946,MA1973.1,-,1.74e-08,AluSx,Alu,SINE
chrY,1758091,1758111,MA1973.1,+,1.74e-08,AluSx,Alu,SINE
chrY,6117100,6117120,MA1973.1,+,1.74e-08,AluSx,Alu,SINE
chrY,14738927,14738947,MA1973.1,+,1.74e-08,AluSx,Alu,SINE
chr19,8022211,8022231,MA1973.1,-,1.8e-08,AluSx,Alu,SINE
chr12,104748007,104748027,MA1973.1,+,1.85e-08,Tigger3a,TcMar-Tigger,DNA
chr6,14214244,14214264,MA1973.1,-,1.92e-08,MLT1H,ERVL-MaLR,LTR
chr2A,69800571,69800591,MA1973.1,-,2.27e-08,MSTA,ERVL-MaLR,LTR
chr20,55853364,55853384,MA1973.1,+,2.3e-08,MLT1K,ERVL-MaLR,LTR
chr12,105792690,105792710,MA1973.1,-,2.3e-08,MLT1F2,ERVL-MaLR,LTR
chr20,58324776,58324796,MA1973.1,+,2.33e-08,MLT1H,ERVL-MaLR,LTR
chr14,105540655,105540675,MA1973.1,+,2.33e-08,L1M3e,L1,LINE
chr7,157891491,157891511,MA1973.1,+,2.44e-08,MLT1H,ERVL-MaLR,LTR
chr14,22477545,22477565,MA1973.1,-,2.5e-08,L2b,L2,LINE
chr13,54176180,54176200,MA1973.1,+,2.62e-08,L1M3e,L1,LINE
chr9,73162225,73162245,MA1973.1,-,2.62e-08,MLT1H2,ERVL-MaLR,LTR
chr8,125257967,125257987,MA1973.1,-,2.62e-08,MLT1H2,ERVL-MaLR,LTR
chr6,160130241,160130261,MA1973.1,-,2.62e-08,MLT1H,ERVL-MaLR,LTR
chr8,30109489,30109509,MA1973.1,+,2.72e-08,MLT1I,ERVL-MaLR,LTR
chrX,70344390,70344410,MA1973.1,+,2.72e-08,L1MA8,L1,LINE
chr11,120480656,120480676,MA1973.1,-,2.72e-08,L2,L2,LINE
chr16,70657246,70657266,MA1973.1,-,2.89e-08,MLT1H,ERVL-MaLR,LTR
chr12,110891680,110891700,MA1973.1,+,3.03e-08,MLT1E2,ERVL-MaLR,LTR
chr5,145733697,145733717,MA1973.1,+,3.03e-08,L1M3e,L1,LINE
chr20,18063329,18063349,MA1973.1,-,3.14e-08,MLT1H,ERVL-MaLR,LTR
chr6,153463021,153463041,MA1973.1,-,3.17e-08,MER5B,hAT-Charlie,DNA
