chr	start	end	peak_id	score	strand	signal_value	p_value	q_value	length	peak_center	peak_strength	signal_category
chr1	16006957	16007800	macs3_results/Chimp_Judith_peak_13	47	.	2.00849	4.70314	2.01619	940	16007427	Weak	Low
chr1	16088075	16089268	macs3_results/Chimp_Judith_peak_16	39	.	1.71432	3.94766	1.54274	488	16088319	Weak	Low
chr1	16088075	16089268	macs3_results/Chimp_Judith_peak_16	39	.	1.71432	3.94766	1.54274	488	16088319	Weak	Low
chr1	17045400	17045982	macs3_results/Chimp_Judith_peak_17	24	.	1.6343	2.48826	0.732532	1168	17045984	Weak	Low
chr1	20900964	20901709	macs3_results/Chimp_Judith_peak_22	54	.	2.36936	5.4132	2.44408	693	20901310.5	Weak	Low
chr1	23322471	23323551	macs3_results/Chimp_Judith_peak_26	52	.	2.30344	5.27831	2.33166	1021	23322981.5	Weak	Low
chr1	23994704	23997770	macs3_results/Chimp_Judith_peak_27a	52	.	1.99903	5.2703	2.32502	1564	23995486	Weak	Low
chr1	23994704	23997770	macs3_results/Chimp_Judith_peak_27a	52	.	1.99903	5.2703	2.32502	1564	23995486	Weak	Low
chr1	23994704	23997770	macs3_results/Chimp_Judith_peak_27a	52	.	1.99903	5.2703	2.32502	1564	23995486	Weak	Low
chr1	23994704	23997770	macs3_results/Chimp_Judith_peak_27b	24	.	1.74592	2.44244	0.696316	2972	23996190	Weak	Low
chr1	23994704	23997770	macs3_results/Chimp_Judith_peak_27b	24	.	1.74592	2.44244	0.696316	2972	23996190	Weak	Low
chr1	23994704	23997770	macs3_results/Chimp_Judith_peak_27b	24	.	1.74592	2.44244	0.696316	2972	23996190	Weak	Low
chr1	24874748	24875904	macs3_results/Chimp_Judith_peak_30	54	.	2.27799	5.41289	2.44408	953	24875224.5	Weak	Low
chr1	27451918	27453457	macs3_results/Chimp_Judith_peak_33	50	.	2.21099	5.0173	2.19817	478	27452157	Weak	Low
chr1	37425972	37427374	macs3_results/Chimp_Judith_peak_61	48	.	2.27352	4.80412	2.01619	718	37426331	Weak	Low
chr1	40146871	40147113	macs3_results/Chimp_Judith_peak_71	37	.	2.00328	3.79085	1.44902	523	40147132.5	Weak	Low
chr1	42218491	42219535	macs3_results/Chimp_Judith_peak_79	32	.	1.95993	3.28804	1.1188	713	42218847.5	Weak	Low
chr1	46313502	46314127	macs3_results/Chimp_Judith_peak_94	40	.	2.07408	4.05858	1.57424	491	46313747.5	Weak	Low
chr1	51891265	51892026	macs3_results/Chimp_Judith_peak_120	62	.	2.30532	6.25412	2.99545	715	51891622.5	Weak	Low
chr1	51892269	51893360	macs3_results/Chimp_Judith_peak_121	53	.	2.07078	5.38815	2.42354	746	51892642	Weak	Low
chr1	52128323	52129323	macs3_results/Chimp_Judith_peak_123	67	.	2.37525	6.72031	3.32105	494	52128570	Weak	Low
chr1	55696504	55697504	macs3_results/Chimp_Judith_peak_137	74	.	2.5195	7.42324	3.86885	776	55696892	Weak	Low
chr1	59054689	59055322	macs3_results/Chimp_Judith_peak_151	40	.	2.11672	4.01628	1.54274	487	59054932.5	Weak	Low
chr1	59852762	59854006	macs3_results/Chimp_Judith_peak_155	57	.	2.34867	5.71067	2.61261	1223	59853373.5	Weak	Low
chr1	59904861	59906017	macs3_results/Chimp_Judith_peak_157	107	.	3.19912	10.7525	6.69973	729	59905225.5	Strong	Low
chr1	60414780	60415843	macs3_results/Chimp_Judith_peak_162	70	.	2.6655	7.0124	3.50578	500	60415030	Weak	Low
chr1	61415635	61415998	macs3_results/Chimp_Judith_peak_165	60	.	2.50871	6.0901	2.85411	640	61415955	Weak	Low
chr1	63023588	63024502	macs3_results/Chimp_Judith_peak_173	39	.	2.06903	3.94328	1.54274	953	63024064.5	Weak	Low
chr1	63183248	63184346	macs3_results/Chimp_Judith_peak_176	37	.	2.00328	3.79085	1.44902	474	63183485	Weak	Low
chr1	63195332	63196484	macs3_results/Chimp_Judith_peak_177	73	.	2.63776	7.36754	3.81888	596	63195630	Weak	Low
chr1	63195332	63196484	macs3_results/Chimp_Judith_peak_177	73	.	2.63776	7.36754	3.81888	596	63195630	Weak	Low
chr1	63216029	63216628	macs3_results/Chimp_Judith_peak_179	56	.	2.43031	5.64808	2.55795	646	63216352	Weak	Low
