"chr","class_id","count","chr_length"
"chr1","DNA",33688,228333871
"chr1","LINE",112221,228333871
"chr1","LTR",48842,228333871
"chr1","SINE",157398,228333871
"chr2A","DNA",17504,113622374
"chr2A","LINE",51946,113622374
"chr2A","LTR",24369,113622374
"chr2A","SINE",62076,113622374
"chr2B","DNA",20516,247518478
"chr2B","LINE",59124,247518478
"chr2B","LTR",30252,247518478
"chr2B","SINE",64562,247518478
"chr3","DNA",34100,202329955
"chr3","LINE",94228,202329955
"chr3","LTR",47010,202329955
"chr3","SINE",109669,202329955
"chr4","DNA",26813,193495092
"chr4","LINE",87973,193495092
"chr4","LTR",51169,193495092
"chr4","SINE",87695,193495092
"chr5","DNA",28167,182651097
"chr5","LINE",83067,182651097
"chr5","LTR",43860,182651097
"chr5","SINE",91287,182651097
"chr6","DNA",26114,172623881
"chr6","LINE",77134,172623881
"chr6","LTR",38640,172623881
"chr6","SINE",86737,172623881
"chr7","DNA",23839,161824586
"chr7","LINE",73990,161824586
"chr7","LTR",37033,161824586
"chr7","SINE",97290,161824586
"chr8","DNA",20574,143986469
"chr8","LINE",67819,143986469
"chr8","LTR",34961,143986469
"chr8","SINE",77037,143986469
"chr9","DNA",17929,137840987
"chr9","LINE",55181,137840987
"chr9","LTR",24986,137840987
"chr9","SINE",72030,137840987
"chr10","DNA",20500,133524379
"chr10","LINE",58774,133524379
"chr10","LTR",27415,133524379
"chr10","SINE",80604,133524379
"chr11","DNA",18595,133121534
"chr11","LINE",64052,133121534
"chr11","LTR",27772,133121534
"chr11","SINE",81234,133121534
"chr12","DNA",21787,134246214
"chr12","LINE",64380,134246214
"chr12","LTR",31656,134246214
"chr12","SINE",88656,134246214
"chr13","DNA",12118,115123233
"chr13","LINE",41994,115123233
"chr13","LTR",22788,115123233
"chr13","SINE",38495,115123233
"chr14","DNA",13464,106544938
"chr14","LINE",41313,106544938
"chr14","LTR",21498,106544938
"chr14","SINE",53720,106544938
"chr15","DNA",13318,99548318
"chr15","LINE",38406,99548318
"chr15","LTR",15582,99548318
"chr15","SINE",54168,99548318
"chr16","DNA",13987,89983829
"chr16","LINE",34830,89983829
"chr16","LTR",18249,89983829
"chr16","SINE",68764,89983829
"chr17","DNA",12438,82630442
"chr17","LINE",33910,82630442
"chr17","LTR",14290,82630442
"chr17","SINE",71614,82630442
"chr18","DNA",11102,76611499
"chr18","LINE",35226,76611499
"chr18","LTR",17480,76611499
"chr18","SINE",37237,76611499
"chr19","DNA",6836,63644993
"chr19","LINE",23603,63644993
"chr19","LTR",13238,63644993
"chr19","SINE",63818,63644993
"chr20","DNA",12481,61729293
"chr20","LINE",29670,61729293
"chr20","LTR",15358,61729293
"chr20","SINE",44914,61729293
"chr21","DNA",4741,32799110
"chr21","LINE",13927,32799110
"chr21","LTR",10442,32799110
"chr21","SINE",16204,32799110
"chr22","DNA",4656,49737984
"chr22","LINE",16183,49737984
"chr22","LTR",6632,49737984
"chr22","SINE",33622,49737984
"chrX","DNA",19953,156848144
"chrX","LINE",82483,156848144
"chrX","LTR",36543,156848144
"chrX","SINE",64365,156848144
"chrY","DNA",1671,26342871
"chrY","LINE",8579,26342871
"chrY","LTR",6722,26342871
"chrY","SINE",8861,26342871
