Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
THTPA	THTPA	chr14_random	+	3111	6636	3.280562	13.279165	21.621639
SH3BP5L	SH3BP5L	chr1	+	146853	162199	6.752411	27.332630	44.504025
SCCPDH	SCCPDH	chr1	-	2272847	2323648	14.656219	59.325916	96.596703
EFCAB2	EFCAB2	chr1	-	4006051	4169588	0.000000	0.000000	0.000000
DESI2	DESI2	chr1	-	4437582	4464837	7.798613	31.567478	51.399361
KMO	KMO	chr1	-	7666500	7724781	1.444066	5.845337	9.517599
FH	FH	chr1	+	7737387	7759529	33.908886	137.257492	223.487808
CHRM3	CHRM3	chr1	-	9420433	9958472	0.444159	1.797881	2.927378
MTR	MTR	chr1	-	12520775	12733758	8.599561	34.809582	56.678276
GNG4	GNG4	chr1	+	13894475	14002652	0.0	0.0	0.0
TBCE	TBCE	chr1	-	14100763	14195013	25.029074	101.313492	164.962463
TOMM20	TOMM20	chr1	+	14439291	14458406	17.571821	71.127785	115.812958
KCNK1	KCNK1	chr1	-	15992358	16060779	0.107684	0.435887	0.709727
TSNAX	TSNAX	chr1	-	18164320	18206627	15.659699	63.387836	103.210472
ACTA1	ACTA1	chr1	+	20230379	20233214	0.0	0.0	0.0
PSEN2	PSEN2	chr1	-	22736604	22756600	6.363979	25.760319	41.943928
SDE2	SDE2	chr1	+	23672360	23689210	5.805027	23.497776	38.259968
PYCR2	PYCR2	chr1	+	23744481	23748875	17.063686	69.070938	112.463913
TMEM63A	TMEM63A	chr1	+	23785816	23822232	9.815329	39.730804	64.691200
EPHX1	EPHX1	chr1	-	23825134	23881142	1.266797	5.127782	8.349248
LBR	LBR	chr1	+	24282308	24308755	12.134363	49.117867	79.975571
CNIH4	CNIH4	chr1	-	25362092	25381733	21.390953	86.586990	140.984222
DEGS1	DEGS1	chr1	-	25560792	25573098	9.767641	39.537773	64.376900
SUSD4	SUSD4	chr1	+	26205554	26353010	4.980079	20.158525	32.822872
BROX	BROX	chr1	-	26873781	26896852	4.295579	17.387785	28.311447
AIDA	AIDA	chr1	+	26896989	26951503	30.459217	123.293800	200.751633
LYPLAL1	LYPLAL1	chr1	-	30537346	30576082	2.303974	9.381524	15.275352
ESRRG	ESRRG	chr1	+	32734645	33346188	0.055358	0.224080	0.364855
DKFZP459I087	DKFZP459I087	chr1	+	36921956	36946735	0.940201	3.805776	6.196708
ANGEL2	ANGEL2	chr1	+	36922243	36946733	3.621434	14.658957	23.868269
PACC1	PACC1	chr1	+	37560020	37611573	5.168825	20.922539	34.066864
IRF6	IRF6	chr1	+	40300349	40321118	0.173765	0.703372	1.145256
C1H1orf74	C1H1orf74	chr1	+	40322279	40324525	1.195090	4.837524	7.876639
CD46	CD46	chr1	-	42334489	42384080	13.585034	54.989937	89.536690
PFKFB2	PFKFB2	chr1	-	43067144	43091294	2.036873	8.244921	13.424692
FCAMR	FCAMR	chr1	+	43175139	43188636	0.0	0.0	0.0
PIGR	PIGR	chr1	+	43200534	43218714	0.0	0.0	0.0
EIF2D	EIF2D	chr1	+	43572491	43597913	82.898903	335.560852	546.372864
SLC41A1	SLC41A1	chr1	+	44376513	44401283	3.924653	15.886338	25.866735
RAB29	RAB29	chr1	+	44415008	44422071	18.961056	76.751175	124.969170
MFSD4A	MFSD4A	chr1	-	44599100	44628518	0.155049	0.627612	1.021902
CDK18	CDK18	chr1	-	44664379	44684997	0.575308	2.328750	3.791759
NUAK2	NUAK2	chr1	+	44872765	44892430	1.231566	4.985177	8.117053
TMCC2	TMCC2	chr1	-	44921491	44970663	0.626893	2.537558	4.131748
RBBP5	RBBP5	chr1	+	45088204	45123579	8.245935	33.378166	54.347588
CNTN2	CNTN2	chr1	-	45136146	45158413	0.0	0.0	0.0
PPP1R15B	PPP1R15B	chr1	+	45811333	45816889	16.289474	65.937065	107.361214
ZC3H11A	ZC3H11A	chr1	-	46357440	46415465	43.710991	176.934769	288.091888
CHI3L1	CHI3L1	chr1	+	47068558	47076304	0.000000	0.000000	0.000000
ADORA1	ADORA1	chr1	-	47087756	47131282	0.0	0.0	0.0
ELF3	ELF3	chr1	-	48284638	48290428	0.0	0.0	0.0
CSRP1	CSRP1	chr1	+	48824501	48852552	86.772980	351.242493	571.906250
LAD1	LAD1	chr1	+	48925251	48931045	0.0	0.0	0.0
B3GALT2	B3GALT2	chr1	+	57137703	57145263	0.0	0.0	0.0
GLRX2	GLRX2	chr1	+	57217255	57231015	6.181278	25.020779	40.739777
UCHL5	UCHL5	chr1	+	57274685	57321207	24.120049	97.633911	158.971222
PLA2G4A	PLA2G4A	chr1	-	63550554	63717605	6.236870	25.245804	41.106174
C1orf27P	C1orf27P	chr1	-	64131067	64176917	7.472775	30.248541	49.251816
TRMT1L	TRMT1L	chr1	+	65432351	65475752	6.632615	26.847713	43.714462
RNF2	RNF2	chr1	-	65492188	65550781	10.485524	42.443645	69.108345
COLGALT2	COLGALT2	chr1	+	66588659	66692978	0.073321	0.296791	0.483247
RGL1	RGL1	chr1	-	66701575	67006465	8.198732	33.187096	54.036484
ARPC5	ARPC5	chr1	+	67006742	67016474	123.105606	498.310852	811.368591
NCF2	NCF2	chr1	+	67063943	67101488	36.152985	146.341217	238.278305
NMNAT2	NMNAT2	chr1	+	67242906	67424261	0.0	0.0	0.0
NPL	NPL	chr1	-	67865330	67907037	12.175734	49.285328	80.248238
RNASEL	RNASEL	chr1	+	68119504	68139963	0.268667	1.087519	1.770740
