Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
THTPA	THTPA	chr14_random	+	3111	6636	2.704918	7.329593	12.143121
SH3BP5L	SH3BP5L	chr1	+	146853	162199	17.056271	46.217857	76.570282
SCCPDH	SCCPDH	chr1	-	2272847	2323648	25.257238	68.440247	113.386681
EFCAB2	EFCAB2	chr1	-	4006051	4169588	0.434820	1.178244	1.952026
DESI2	DESI2	chr1	-	4437582	4464837	11.327649	30.694849	50.852932
KMO	KMO	chr1	-	7666500	7724781	3.303883	8.952624	14.832039
FH	FH	chr1	+	7737387	7759529	43.724983	118.482819	196.293472
CHRM3	CHRM3	chr1	-	9420433	9958472	0.0	0.0	0.0
MTR	MTR	chr1	-	12520775	12733758	16.761574	45.419308	75.247314
GNG4	GNG4	chr1	+	13894475	14002652	0.0	0.0	0.0
TBCE	TBCE	chr1	-	14100763	14195013	38.978176	105.620255	174.983749
TOMM20	TOMM20	chr1	+	14439291	14458406	22.512224	61.002007	101.063560
KCNK1	KCNK1	chr1	-	15992358	16060779	2.237241	6.062315	10.043590
TSNAX	TSNAX	chr1	-	18164320	18206627	32.504925	88.079506	145.923538
ACTA1	ACTA1	chr1	+	20230379	20233214	0.0	0.0	0.0
PSEN2	PSEN2	chr1	-	22736604	22756600	11.778190	31.915691	52.875534
SDE2	SDE2	chr1	+	23672360	23689210	16.028273	43.432262	71.955322
PYCR2	PYCR2	chr1	+	23744481	23748875	37.940643	102.808823	170.325974
TMEM63A	TMEM63A	chr1	+	23785816	23822232	13.755370	37.273315	61.751637
EPHX1	EPHX1	chr1	-	23825134	23881142	2.166970	5.871900	9.728124
LBR	LBR	chr1	+	24282308	24308755	29.804720	80.762688	133.801575
CNIH4	CNIH4	chr1	-	25362092	25381733	47.683655	129.209732	214.065033
DEGS1	DEGS1	chr1	-	25560792	25573098	11.630645	31.515886	52.213161
SUSD4	SUSD4	chr1	+	26205554	26353010	0.160086	0.433790	0.718670
BROX	BROX	chr1	-	26873781	26896852	8.848967	23.978294	39.725445
AIDA	AIDA	chr1	+	26896989	26951503	42.769306	115.893188	192.003174
LYPLAL1	LYPLAL1	chr1	-	30537346	30576082	5.100430	13.902911	23.033302
ESRRG	ESRRG	chr1	+	32734645	33346188	0.0	0.0	0.0
DKFZP459I087	DKFZP459I087	chr1	+	36921956	36946735	2.374147	6.433292	10.658198
ANGEL2	ANGEL2	chr1	+	36922243	36946733	9.180025	24.875372	41.211655
