chr_name	ensembl_id	gene_symbol	gene_start	gene_end	gene_strand	te_name	te_start	te_end	te_strand	strand_relation
chr1	ENSPPYG00000000063	CEP170	5981499	6112968	+	AluSg	6024642	6024946	+	Sense
chr1	ENSPPYG00000000063	CEP170	5981499	6112968	+	L2a	6068068	6068112	-	Antisense
chr1	ENSPPYG00000000063	CEP170	5981499	6112968	+	L1MA7	6068296	6068567	+	Sense
chr1	ENSPPYG00000000063	CEP170	5981499	6112968	+	L1PB1	6090821	6090936	-	Antisense
chr1	ENSPPYG00000000063	CEP170	5981499	6112968	+	AluSx	6108340	6108646	+	Sense
chr1	ENSPPYG00000000198	TAF1A	27031424	27064278	+	MER58D	27058746	27058799	+	Sense
chr1	ENSPPYG00000000218	USH2A	33432349	34264274	+	L2c	33482812	33483226	+	Sense
chr1	ENSPPYG00000000218	USH2A	33432349	34264274	+	MER8	33483290	33483512	+	Sense
chr1	ENSPPYG00000000218	USH2A	33432349	34264274	+	AluJb	33548497	33548793	-	Antisense
chr1	ENSPPYG00000000218	USH2A	33432349	34264274	+	L1MC	33577192	33577314	+	Sense
chr1	ENSPPYG00000000218	USH2A	33432349	34264274	+	L2a	33845694	33845772	+	Sense
chr1	ENSPPYG00000000218	USH2A	33432349	34264274	+	MIRc	33846014	33846166	-	Antisense
chr1	ENSPPYG00000000218	USH2A	33432349	34264274	+	L1ME4a	33924086	33924608	+	Sense
chr1	ENSPPYG00000000237	PPP2R5A	37614022	37690582	-	MADE1	37626084	37626140	+	Antisense
chr1	ENSPPYG00000000374	CAMSAP2	49454115	49581809	-	Alu	49485302	49485352	-	Sense
chr1	ENSPPYG00000000380	PTPRC	51627446	51748808	-	L2a	51694255	51694505	-	Sense
chr1	ENSPPYG00000000392	CFH	53620483	53730250	-	L1MDa	53622983	53624345	+	Antisense
chr1	ENSPPYG00000000392	CFH	53620483	53730250	-	L2	53624350	53624531	+	Antisense
chr1	ENSPPYG00000000392	CFH	53620483	53730250	-	L1MD	53633623	53633881	-	Sense
chr1	ENSPPYG00000000392	CFH	53620483	53730250	-	MER58A	53691730	53691924	-	Sense
chr1	ENSPPYG00000000392	CFH	53620483	53730250	-	L2	53692045	53692720	+	Antisense
chr1	ENSPPYG00000000393	KCNT2	53774191	54165644	+	L2a	53842561	53842629	+	Sense
chr1	ENSPPYG00000000393	KCNT2	53774191	54165644	+	Arthur1A	54056994	54057153	+	Sense
chr1	ENSPPYG00000000430	SHCBP1L	67738513	67793927	+	FLAM_C	67789881	67790004	+	Sense
chr1	ENSPPYG00000000430	SHCBP1L	67738513	67793927	+	L3b	67790032	67790109	+	Sense
chr1	ENSPPYG00000000468	ANGPTL1	71997925	72014978	+	MIR	72011352	72011454	+	Sense
chr1	ENSPPYG00000000468	ANGPTL1	71997925	72014978	+	MER103	72011637	72011733	+	Sense
chr1	ENSPPYG00000000468	ANGPTL1	71997925	72014978	+	L1M5	72011917	72012011	+	Sense
chr1	ENSPPYG00000000487	RABGAP1L	75963360	76806839	-	Charlie21a	76673308	76673483	-	Sense
