"chr","class_id","count","chr_length"
"chr1","DNA",32529,229942017
"chr1","LINE",117387,229942017
"chr1","LTR",49246,229942017
"chr1","SINE",145645,229942017
"chr2a","DNA",16933,113028656
"chr2a","LINE",54863,113028656
"chr2a","LTR",25044,113028656
"chr2a","SINE",57553,113028656
"chr2b","DNA",19724,135000294
"chr2b","LINE",63311,135000294
"chr2b","LTR",30789,135000294
"chr2b","SINE",60701,135000294
"chr3","DNA",32699,202140232
"chr3","LINE",99714,202140232
"chr3","LTR",46838,202140232
"chr3","SINE",101426,202140232
"chr4","DNA",26349,198332218
"chr4","LINE",94737,198332218
"chr4","LTR",52608,198332218
"chr4","SINE",82413,198332218
"chr5","DNA",27191,183952662
"chr5","LINE",87896,183952662
"chr5","LTR",44008,183952662
"chr5","SINE",84793,183952662
"chr6","DNA",25447,174210431
"chr6","LINE",82935,174210431
"chr6","LTR",39123,174210431
"chr6","SINE",80899,174210431
"chr7","DNA",21949,157549271
"chr7","LINE",74630,157549271
"chr7","LTR",34820,157549271
"chr7","SINE",81578,157549271
"chr8","DNA",20840,153482349
"chr8","LINE",73975,153482349
"chr8","LTR",36441,153482349
"chr8","SINE",74454,153482349
"chr9","DNA",17389,135191526
"chr9","LINE",59464,135191526
"chr9","LTR",25382,135191526
"chr9","SINE",67795,135191526
"chr10","DNA",20094,133410057
"chr10","LINE",62790,133410057
"chr10","LTR",28134,133410057
"chr10","SINE",74901,133410057
"chr11","DNA",18132,132107971
"chr11","LINE",68588,132107971
"chr11","LTR",29020,132107971
"chr11","SINE",77356,132107971
"chr12","DNA",21218,136387465
"chr12","LINE",67833,136387465
"chr12","LTR",32087,136387465
"chr12","SINE",82265,136387465
"chr13","DNA",13338,117095149
"chr13","LINE",48926,117095149
"chr13","LTR",24936,117095149
"chr13","SINE",40303,117095149
"chr14","DNA",13149,108868599
"chr14","LINE",44521,108868599
"chr14","LTR",22077,108868599
"chr14","SINE",49870,108868599
"chr15","DNA",12901,99152023
"chr15","LINE",41180,99152023
"chr15","LTR",15816,99152023
"chr15","SINE",49863,99152023
"chr16","DNA",13194,77800216
"chr16","LINE",35447,77800216
"chr16","LTR",17485,77800216
"chr16","SINE",61003,77800216
"chr17","DNA",11126,73212453
"chr17","LINE",32593,73212453
"chr17","LTR",13757,73212453
"chr17","SINE",59342,73212453
"chr18","DNA",10824,94050890
"chr18","LINE",37306,94050890
"chr18","LTR",18006,94050890
"chr18","SINE",34906,94050890
"chr19","DNA",6753,60714840
"chr19","LINE",24540,60714840
"chr19","LTR",13193,60714840
"chr19","SINE",56961,60714840
"chr20","DNA",12301,62736349
"chr20","LINE",32066,62736349
"chr20","LTR",15892,62736349
"chr20","SINE",42010,62736349
"chr21","DNA",4683,48394510
"chr21","LINE",15203,48394510
"chr21","LTR",10809,48394510
"chr21","SINE",15231,48394510
"chr22","DNA",4364,46535552
"chr22","LINE",15949,46535552
"chr22","LTR",6378,46535552
"chr22","SINE",29003,46535552
"chrX","DNA",20626,156195299
"chrX","LINE",92303,156195299
"chrX","LTR",39533,156195299
"chrX","SINE",65368,156195299
