chr_name	ensembl_id	gene_symbol	gene_start	gene_end	gene_strand	te_name	te_start	te_end	te_strand	strand_relation
chr7	ENSG00000004766	VPS50	92861652	92990435	+	MIRb	92885574	92885680	-	Antisense
chr12	ENSG00000052126	PLEKHA5	19282602	19529334	+	L1MA4A	19352743	19353216	+	Sense
chr5	ENSG00000072571	HMMR	162887208	162918947	+	MIR	162900052	162900097	+	Sense
chr8	ENSG00000078674	PCM1	17780350	17887457	+	LTR85a	17792237	17792773	-	Antisense
chr14	ENSG00000087301	TXNDC16	52896189	53019265	-	L2a	53010299	53010390	+	Antisense
chr14	ENSG00000092108	SCFD1	31091496	31206900	+	MIRc	31144303	31144491	-	Antisense
chr14	ENSG00000092108	SCFD1	31091496	31206900	+	X3_LINE	31144765	31144868	-	Antisense
chr7	ENSG00000105829	BET1	93592073	93633694	-	MIRb	93601655	93601893	-	Sense
chr3	ENSG00000114346	ECT2	172468471	172539264	+	AluJr	172501949	172502078	+	Sense
chr2	ENSG00000115423	DNAH6	84743578	85046713	+	L1MC4a	84879541	84879877	-	Antisense
chr2	ENSG00000115423	DNAH6	84743578	85046713	+	L2a	84880124	84880209	-	Antisense
chr1	ENSG00000117528	ABCD3	94883944	94984222	+	MIR3	94940945	94941076	+	Sense
chr14	ENSG00000126777	KTN1	56025789	56168244	+	L4	56125836	56125890	-	Antisense
chr5	ENSG00000130449	ZSWIM6	60628084	60841999	+	MIR	60786928	60786994	+	Sense
chr1	ENSG00000134243	SORT1	109852189	109940540	-	MER5A	109896166	109896305	-	Sense
chr1	ENSG00000134243	SORT1	109852189	109940540	-	MamRep38	109907362	109907416	+	Antisense
chr1	ENSG00000134243	SORT1	109852189	109940540	-	MIRb	109907481	109907659	-	Sense
chr1	ENSG00000134243	SORT1	109852189	109940540	-	AluJb	109907851	109908015	-	Sense
chr1	ENSG00000134243	SORT1	109852189	109940540	-	AluSx4	109921477	109921782	+	Antisense
chr1	ENSG00000134243	SORT1	109852189	109940540	-	MER30	109921826	109922049	-	Sense
chr1	ENSG00000134243	SORT1	109852189	109940540	-	L1MEc	109922361	109922615	+	Antisense
chr7	ENSG00000136244	IL6	22765502	22771621	+	MIR3	22767781	22767954	+	Sense
chr2	ENSG00000144306	SCRN3	175260457	175294303	+	MIRb	175265378	175265562	-	Antisense
chr2	ENSG00000144320	LNPK	176788609	176867567	-	MER5B	176802662	176802842	-	Sense
chr2	ENSG00000144320	LNPK	176788609	176867567	-	L1MA4	176815004	176815264	+	Antisense
chr2	ENSG00000144320	LNPK	176788609	176867567	-	MIR	176815336	176815568	+	Antisense
chr2	ENSG00000144320	LNPK	176788609	176867567	-	MIRb	176831452	176831652	+	Antisense
chr2	ENSG00000144320	LNPK	176788609	176867567	-	MER99	176831711	176831780	+	Antisense
chr2	ENSG00000144320	LNPK	176788609	176867567	-	MER30	176831785	176831930	+	Antisense
chr11	ENSG00000154114	TBCEL	120894780	120961485	+	L2c	120919534	120919859	+	Sense
chr11	ENSG00000154114	TBCEL	120894780	120961485	+	MIRc	120919895	120919974	+	Sense
chr11	ENSG00000154114	TBCEL	120894780	120961485	+	MER33	120930105	120930428	+	Sense
chr1	ENSG00000162664	ZNF326	90460668	90501092	+	MIR	90486623	90486850	+	Sense
chr1	ENSG00000162695	SLC30A7	101361631	101461816	+	L2a	101439238	101439665	-	Antisense
chr1	ENSG00000162695	SLC30A7	101361631	101461816	+	L1PB4	101439665	101439788	-	Antisense
chr1	ENSG00000162695	SLC30A7	101361631	101461816	+	L2a	101439788	101439917	-	Antisense
chr4	ENSG00000163629	PTPN13	87515467	87736324	+	AluSz	87638342	87638629	-	Antisense
chr6	ENSG00000168216	LMBRD1	70382648	70577128	-	MER20	70410292	70410489	-	Sense
chr3	ENSG00000174891	RSRC1	157823643	158263519	+	L1ME2z	158015385	158015494	+	Sense
chr4	ENSG00000178177	LCORL	17842809	18023499	-	L1M5	17906863	17907155	-	Sense
chr6	ENSG00000187987	ZSCAN23	28399706	28411279	-	L1MC4a	28400455	28400725	+	Antisense
chr10	ENSG00000196139	AKR1C3	5077545	5149878	+	MER68	5138100	5138284	+	Sense
chr11	ENSG00000196954	CASP4	104813592	104840093	-	L2a	104817037	104817249	-	Sense
chr11	ENSG00000196954	CASP4	104813592	104840093	-	MIR	104818226	104818379	-	Sense
chr3	ENSG00000206199	ANKUB1	149478886	149686172	-	L2a	149611822	149611907	-	Sense
chrX	ENSG00000230916	MTCO1P53	125605687	125606386	+	L1MA2	125603998	125605687	+	Sense
chr6	ENSG00000234155	LINC02535	86030031	86114629	-	L1M2	86095869	86096344	+	Antisense
chr6	ENSG00000234155	LINC02535	86030031	86114629	-	L1MEg	86096340	86097085	+	Antisense
chr6	ENSG00000234155	LINC02535	86030031	86114629	-	L1ME2z	86097081	86097452	+	Antisense
chr22	ENSG00000242247	ARFGAP3	43192507	43254112	-	HAL1b	43213792	43213990	+	Antisense
chr14	ENSG00000259045	MTCO1P2	32953303	32954006	-	L1PA7	32952996	32953306	-	Sense
